"microorganism"	"antibiotic"
"Achromobacter"	"Rifampicin"
"Achromobacter"	"Rokitamycin"
"Achromobacter"	"Roxithromycin"
"Achromobacter"	"Spiramycin"
"Achromobacter"	"Tedizolid"
"Achromobacter"	"Teicoplanin"
"Achromobacter"	"Teicoplanin-macromethod"
"Achromobacter"	"Telavancin"
"Achromobacter"	"Telithromycin"
"Achromobacter"	"Thiacetazone"
"Achromobacter"	"Troleandomycin"
"Achromobacter"	"Vancomycin"
"Achromobacter aegrifaciens"	"Avoparcin"
"Achromobacter aegrifaciens"	"Azithromycin"
"Achromobacter aegrifaciens"	"Cefacetrile"
"Achromobacter aegrifaciens"	"Cefaclor"
"Achromobacter aegrifaciens"	"Cefadroxil"
"Achromobacter aegrifaciens"	"Cefaloridine"
"Achromobacter aegrifaciens"	"Cefamandole"
"Achromobacter aegrifaciens"	"Cefatrizine"
"Achromobacter aegrifaciens"	"Cefazedone"
"Achromobacter aegrifaciens"	"Cefazolin"
"Achromobacter aegrifaciens"	"Cefmetazole"
"Achromobacter aegrifaciens"	"Cefonicid"
"Achromobacter aegrifaciens"	"Ceforanide"
"Achromobacter aegrifaciens"	"Cefotetan"
"Achromobacter aegrifaciens"	"Cefotiam"
"Achromobacter aegrifaciens"	"Cefoxitin"
"Achromobacter aegrifaciens"	"Cefprozil"
"Achromobacter aegrifaciens"	"Cefroxadine"
"Achromobacter aegrifaciens"	"Ceftezole"
"Achromobacter aegrifaciens"	"Cefuroxime"
"Achromobacter aegrifaciens"	"Cephalexin"
"Achromobacter aegrifaciens"	"Cephalothin"
"Achromobacter aegrifaciens"	"Cephapirin"
"Achromobacter aegrifaciens"	"Cephradine"
"Achromobacter aegrifaciens"	"Clarithromycin"
"Achromobacter aegrifaciens"	"Clindamycin"
"Achromobacter aegrifaciens"	"Cycloserine"
"Achromobacter aegrifaciens"	"Dalbavancin"
"Achromobacter aegrifaciens"	"Dirithromycin"
"Achromobacter aegrifaciens"	"Erythromycin"
"Achromobacter aegrifaciens"	"Flurithromycin"
"Achromobacter aegrifaciens"	"Fusidic acid"
"Achromobacter aegrifaciens"	"Josamycin"
"Achromobacter aegrifaciens"	"Lincomycin"
"Achromobacter aegrifaciens"	"Linezolid"
"Achromobacter aegrifaciens"	"Loracarbef"
"Achromobacter aegrifaciens"	"Midecamycin"
"Achromobacter aegrifaciens"	"Miocamycin"
"Achromobacter aegrifaciens"	"Norvancomycin"
"Achromobacter aegrifaciens"	"Oleandomycin"
"Achromobacter aegrifaciens"	"Oritavancin"
"Achromobacter aegrifaciens"	"Benzylpenicillin"
"Achromobacter aegrifaciens"	"Pirlimycin"
"Achromobacter aegrifaciens"	"Pristinamycin"
"Achromobacter aegrifaciens"	"Quinupristin/dalfopristin"
"Achromobacter aegrifaciens"	"Ramoplanin"
"Achromobacter aegrifaciens"	"Rifampicin"
"Achromobacter aegrifaciens"	"Rokitamycin"
"Achromobacter aegrifaciens"	"Roxithromycin"
"Achromobacter aegrifaciens"	"Spiramycin"
"Achromobacter aegrifaciens"	"Tedizolid"
"Achromobacter aegrifaciens"	"Teicoplanin"
"Achromobacter aegrifaciens"	"Teicoplanin-macromethod"
"Achromobacter aegrifaciens"	"Telavancin"
"Achromobacter aegrifaciens"	"Telithromycin"
"Achromobacter aegrifaciens"	"Thiacetazone"
"Achromobacter aegrifaciens"	"Troleandomycin"
"Achromobacter aegrifaciens"	"Vancomycin"
"Achromobacter agilis"	"Avoparcin"
"Achromobacter agilis"	"Azithromycin"
"Achromobacter agilis"	"Cefacetrile"
"Achromobacter agilis"	"Cefaclor"
"Achromobacter agilis"	"Cefadroxil"
"Achromobacter agilis"	"Cefaloridine"
"Achromobacter agilis"	"Cefamandole"
"Achromobacter agilis"	"Cefatrizine"
"Achromobacter agilis"	"Cefazedone"
"Achromobacter agilis"	"Cefazolin"
"Achromobacter agilis"	"Cefmetazole"
"Achromobacter agilis"	"Cefonicid"
"Achromobacter agilis"	"Ceforanide"
"Achromobacter agilis"	"Cefotetan"
"Achromobacter agilis"	"Cefotiam"
"Achromobacter agilis"	"Cefoxitin"
"Achromobacter agilis"	"Cefprozil"
"Achromobacter agilis"	"Cefroxadine"
"Achromobacter agilis"	"Ceftezole"
"Achromobacter agilis"	"Cefuroxime"
"Achromobacter agilis"	"Cephalexin"
"Achromobacter agilis"	"Cephalothin"
"Achromobacter agilis"	"Cephapirin"
"Achromobacter agilis"	"Cephradine"
"Achromobacter agilis"	"Clarithromycin"
"Achromobacter agilis"	"Clindamycin"
"Achromobacter agilis"	"Cycloserine"
"Achromobacter agilis"	"Dalbavancin"
"Achromobacter agilis"	"Dirithromycin"
"Achromobacter agilis"	"Erythromycin"
"Achromobacter agilis"	"Flurithromycin"
"Achromobacter agilis"	"Fusidic acid"
"Achromobacter agilis"	"Josamycin"
"Achromobacter agilis"	"Lincomycin"
"Achromobacter agilis"	"Linezolid"
"Achromobacter agilis"	"Loracarbef"
"Achromobacter agilis"	"Midecamycin"
"Achromobacter agilis"	"Miocamycin"
"Achromobacter agilis"	"Norvancomycin"
"Achromobacter agilis"	"Oleandomycin"
"Achromobacter agilis"	"Oritavancin"
"Achromobacter agilis"	"Benzylpenicillin"
"Achromobacter agilis"	"Pirlimycin"
"Achromobacter agilis"	"Pristinamycin"
"Achromobacter agilis"	"Quinupristin/dalfopristin"
"Achromobacter agilis"	"Ramoplanin"
"Achromobacter agilis"	"Rifampicin"
"Achromobacter agilis"	"Rokitamycin"
"Achromobacter agilis"	"Roxithromycin"
"Achromobacter agilis"	"Spiramycin"
"Achromobacter agilis"	"Tedizolid"
"Achromobacter agilis"	"Teicoplanin"
"Achromobacter agilis"	"Teicoplanin-macromethod"
"Achromobacter agilis"	"Telavancin"
"Achromobacter agilis"	"Telithromycin"
"Achromobacter agilis"	"Thiacetazone"
"Achromobacter agilis"	"Troleandomycin"
"Achromobacter agilis"	"Vancomycin"
"Achromobacter aloeverae"	"Avoparcin"
"Achromobacter aloeverae"	"Azithromycin"
"Achromobacter aloeverae"	"Cefacetrile"
"Achromobacter aloeverae"	"Cefaclor"
"Achromobacter aloeverae"	"Cefadroxil"
"Achromobacter aloeverae"	"Cefaloridine"
"Achromobacter aloeverae"	"Cefamandole"
"Achromobacter aloeverae"	"Cefatrizine"
"Achromobacter aloeverae"	"Cefazedone"
"Achromobacter aloeverae"	"Cefazolin"
"Achromobacter aloeverae"	"Cefmetazole"
"Achromobacter aloeverae"	"Cefonicid"
"Achromobacter aloeverae"	"Ceforanide"
"Achromobacter aloeverae"	"Cefotetan"
"Achromobacter aloeverae"	"Cefotiam"
"Achromobacter aloeverae"	"Cefoxitin"
"Achromobacter aloeverae"	"Cefprozil"
"Achromobacter aloeverae"	"Cefroxadine"
"Achromobacter aloeverae"	"Ceftezole"
"Achromobacter aloeverae"	"Cefuroxime"
"Achromobacter aloeverae"	"Cephalexin"
"Achromobacter aloeverae"	"Cephalothin"
"Achromobacter aloeverae"	"Cephapirin"
"Achromobacter aloeverae"	"Cephradine"
"Achromobacter aloeverae"	"Clarithromycin"
"Achromobacter aloeverae"	"Clindamycin"
"Achromobacter aloeverae"	"Cycloserine"
"Achromobacter aloeverae"	"Dalbavancin"
"Achromobacter aloeverae"	"Dirithromycin"
"Achromobacter aloeverae"	"Erythromycin"
"Achromobacter aloeverae"	"Flurithromycin"
"Achromobacter aloeverae"	"Fusidic acid"
"Achromobacter aloeverae"	"Josamycin"
"Achromobacter aloeverae"	"Lincomycin"
"Achromobacter aloeverae"	"Linezolid"
"Achromobacter aloeverae"	"Loracarbef"
"Achromobacter aloeverae"	"Midecamycin"
"Achromobacter aloeverae"	"Miocamycin"
"Achromobacter aloeverae"	"Norvancomycin"
"Achromobacter aloeverae"	"Oleandomycin"
"Achromobacter aloeverae"	"Oritavancin"
"Achromobacter aloeverae"	"Benzylpenicillin"
"Achromobacter aloeverae"	"Pirlimycin"
"Achromobacter aloeverae"	"Pristinamycin"
"Achromobacter aloeverae"	"Quinupristin/dalfopristin"
"Achromobacter aloeverae"	"Ramoplanin"
"Achromobacter aloeverae"	"Rifampicin"
"Achromobacter aloeverae"	"Rokitamycin"
"Achromobacter aloeverae"	"Roxithromycin"
"Achromobacter aloeverae"	"Spiramycin"
"Achromobacter aloeverae"	"Tedizolid"
"Achromobacter aloeverae"	"Teicoplanin"
"Achromobacter aloeverae"	"Teicoplanin-macromethod"
"Achromobacter aloeverae"	"Telavancin"
"Achromobacter aloeverae"	"Telithromycin"
"Achromobacter aloeverae"	"Thiacetazone"
"Achromobacter aloeverae"	"Troleandomycin"
"Achromobacter aloeverae"	"Vancomycin"
"Achromobacter animicus"	"Avoparcin"
"Achromobacter animicus"	"Azithromycin"
"Achromobacter animicus"	"Cefacetrile"
"Achromobacter animicus"	"Cefaclor"
"Achromobacter animicus"	"Cefadroxil"
"Achromobacter animicus"	"Cefaloridine"
"Achromobacter animicus"	"Cefamandole"
"Achromobacter animicus"	"Cefatrizine"
"Achromobacter animicus"	"Cefazedone"
"Achromobacter animicus"	"Cefazolin"
"Achromobacter animicus"	"Cefmetazole"
"Achromobacter animicus"	"Cefonicid"
"Achromobacter animicus"	"Ceforanide"
"Achromobacter animicus"	"Cefotetan"
"Achromobacter animicus"	"Cefotiam"
"Achromobacter animicus"	"Cefoxitin"
"Achromobacter animicus"	"Cefprozil"
"Achromobacter animicus"	"Cefroxadine"
"Achromobacter animicus"	"Ceftezole"
"Achromobacter animicus"	"Cefuroxime"
"Achromobacter animicus"	"Cephalexin"
"Achromobacter animicus"	"Cephalothin"
"Achromobacter animicus"	"Cephapirin"
"Achromobacter animicus"	"Cephradine"
"Achromobacter animicus"	"Clarithromycin"
"Achromobacter animicus"	"Clindamycin"
"Achromobacter animicus"	"Cycloserine"
"Achromobacter animicus"	"Dalbavancin"
"Achromobacter animicus"	"Dirithromycin"
"Achromobacter animicus"	"Erythromycin"
"Achromobacter animicus"	"Flurithromycin"
"Achromobacter animicus"	"Fusidic acid"
"Achromobacter animicus"	"Josamycin"
"Achromobacter animicus"	"Lincomycin"
"Achromobacter animicus"	"Linezolid"
"Achromobacter animicus"	"Loracarbef"
"Achromobacter animicus"	"Midecamycin"
"Achromobacter animicus"	"Miocamycin"
"Achromobacter animicus"	"Norvancomycin"
"Achromobacter animicus"	"Oleandomycin"
"Achromobacter animicus"	"Oritavancin"
"Achromobacter animicus"	"Benzylpenicillin"
"Achromobacter animicus"	"Pirlimycin"
"Achromobacter animicus"	"Pristinamycin"
"Achromobacter animicus"	"Quinupristin/dalfopristin"
"Achromobacter animicus"	"Ramoplanin"
"Achromobacter animicus"	"Rifampicin"
"Achromobacter animicus"	"Rokitamycin"
"Achromobacter animicus"	"Roxithromycin"
"Achromobacter animicus"	"Spiramycin"
"Achromobacter animicus"	"Tedizolid"
"Achromobacter animicus"	"Teicoplanin"
"Achromobacter animicus"	"Teicoplanin-macromethod"
"Achromobacter animicus"	"Telavancin"
"Achromobacter animicus"	"Telithromycin"
"Achromobacter animicus"	"Thiacetazone"
"Achromobacter animicus"	"Troleandomycin"
"Achromobacter animicus"	"Vancomycin"
"Achromobacter anxifer"	"Avoparcin"
"Achromobacter anxifer"	"Azithromycin"
"Achromobacter anxifer"	"Cefacetrile"
"Achromobacter anxifer"	"Cefaclor"
"Achromobacter anxifer"	"Cefadroxil"
"Achromobacter anxifer"	"Cefaloridine"
"Achromobacter anxifer"	"Cefamandole"
"Achromobacter anxifer"	"Cefatrizine"
"Achromobacter anxifer"	"Cefazedone"
"Achromobacter anxifer"	"Cefazolin"
"Achromobacter anxifer"	"Cefmetazole"
"Achromobacter anxifer"	"Cefonicid"
"Achromobacter anxifer"	"Ceforanide"
"Achromobacter anxifer"	"Cefotetan"
"Achromobacter anxifer"	"Cefotiam"
"Achromobacter anxifer"	"Cefoxitin"
"Achromobacter anxifer"	"Cefprozil"
"Achromobacter anxifer"	"Cefroxadine"
"Achromobacter anxifer"	"Ceftezole"
"Achromobacter anxifer"	"Cefuroxime"
"Achromobacter anxifer"	"Cephalexin"
"Achromobacter anxifer"	"Cephalothin"
"Achromobacter anxifer"	"Cephapirin"
"Achromobacter anxifer"	"Cephradine"
"Achromobacter anxifer"	"Clarithromycin"
"Achromobacter anxifer"	"Clindamycin"
"Achromobacter anxifer"	"Cycloserine"
"Achromobacter anxifer"	"Dalbavancin"
"Achromobacter anxifer"	"Dirithromycin"
"Achromobacter anxifer"	"Erythromycin"
"Achromobacter anxifer"	"Flurithromycin"
"Achromobacter anxifer"	"Fusidic acid"
"Achromobacter anxifer"	"Josamycin"
"Achromobacter anxifer"	"Lincomycin"
"Achromobacter anxifer"	"Linezolid"
"Achromobacter anxifer"	"Loracarbef"
"Achromobacter anxifer"	"Midecamycin"
"Achromobacter anxifer"	"Miocamycin"
"Achromobacter anxifer"	"Norvancomycin"
"Achromobacter anxifer"	"Oleandomycin"
"Achromobacter anxifer"	"Oritavancin"
"Achromobacter anxifer"	"Benzylpenicillin"
"Achromobacter anxifer"	"Pirlimycin"
"Achromobacter anxifer"	"Pristinamycin"
"Achromobacter anxifer"	"Quinupristin/dalfopristin"
"Achromobacter anxifer"	"Ramoplanin"
"Achromobacter anxifer"	"Rifampicin"
"Achromobacter anxifer"	"Rokitamycin"
"Achromobacter anxifer"	"Roxithromycin"
"Achromobacter anxifer"	"Spiramycin"
"Achromobacter anxifer"	"Tedizolid"
"Achromobacter anxifer"	"Teicoplanin"
"Achromobacter anxifer"	"Teicoplanin-macromethod"
"Achromobacter anxifer"	"Telavancin"
"Achromobacter anxifer"	"Telithromycin"
"Achromobacter anxifer"	"Thiacetazone"
"Achromobacter anxifer"	"Troleandomycin"
"Achromobacter anxifer"	"Vancomycin"
"Achromobacter deleyi"	"Avoparcin"
"Achromobacter deleyi"	"Azithromycin"
"Achromobacter deleyi"	"Cefacetrile"
"Achromobacter deleyi"	"Cefaclor"
"Achromobacter deleyi"	"Cefadroxil"
"Achromobacter deleyi"	"Cefaloridine"
"Achromobacter deleyi"	"Cefamandole"
"Achromobacter deleyi"	"Cefatrizine"
"Achromobacter deleyi"	"Cefazedone"
"Achromobacter deleyi"	"Cefazolin"
"Achromobacter deleyi"	"Cefmetazole"
"Achromobacter deleyi"	"Cefonicid"
"Achromobacter deleyi"	"Ceforanide"
"Achromobacter deleyi"	"Cefotetan"
"Achromobacter deleyi"	"Cefotiam"
"Achromobacter deleyi"	"Cefoxitin"
"Achromobacter deleyi"	"Cefprozil"
"Achromobacter deleyi"	"Cefroxadine"
"Achromobacter deleyi"	"Ceftezole"
"Achromobacter deleyi"	"Cefuroxime"
"Achromobacter deleyi"	"Cephalexin"
"Achromobacter deleyi"	"Cephalothin"
"Achromobacter deleyi"	"Cephapirin"
"Achromobacter deleyi"	"Cephradine"
"Achromobacter deleyi"	"Clarithromycin"
"Achromobacter deleyi"	"Clindamycin"
"Achromobacter deleyi"	"Cycloserine"
"Achromobacter deleyi"	"Dalbavancin"
"Achromobacter deleyi"	"Dirithromycin"
"Achromobacter deleyi"	"Erythromycin"
