"mo_group"	"mo"	"mo_group_name"	"mo_name"
"B_STRPT_HAEM"	"B_STRPT_SLVR_THRM"	"Beta-haemolytic Streptococcus"	"Streptococcus salivarius thermophilus"
"B_STRPT_HAEM"	"B_STRPT_SNGN"	"Beta-haemolytic Streptococcus"	"Streptococcus sanguinis"
"B_BRKHL_CEPC-C"	"B_BRKHL_AMBF"	"Burkholderia cepacia complex"	"Burkholderia ambifaria"
"B_BRKHL_CEPC-C"	"B_BRKHL_ANTH"	"Burkholderia cepacia complex"	"Burkholderia anthina"
"B_BRKHL_CEPC-C"	"B_BRKHL_CNCP"	"Burkholderia cepacia complex"	"Burkholderia cenocepacia"
"B_BRKHL_CEPC-C"	"B_BRKHL_CEPC"	"Burkholderia cepacia complex"	"Burkholderia cepacia"
"B_BRKHL_CEPC-C"	"B_BRKHL_DOLS"	"Burkholderia cepacia complex"	"Burkholderia dolosa"
"B_BRKHL_CEPC-C"	"B_BRKHL_MLTV"	"Burkholderia cepacia complex"	"Burkholderia multivorans"
"B_BRKHL_CEPC-C"	"B_BRKHL_PYRR"	"Burkholderia cepacia complex"	"Burkholderia pyrrocinia"
"B_BRKHL_CEPC-C"	"B_BRKHL_STBL"	"Burkholderia cepacia complex"	"Burkholderia stabilis"
"B_BRKHL_CEPC-C"	"B_BRKHL_UBNN"	"Burkholderia cepacia complex"	"Burkholderia ubonensis"
"B_BRKHL_CEPC-C"	"B_BRKHL_VTNM"	"Burkholderia cepacia complex"	"Burkholderia vietnamiensis"
"F_CANDD_ALBC-C"	"F_CANDD_AFRC"	"Candida albicans complex"	"Candida africana"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC"	"Candida albicans complex"	"Candida albicans"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_ALBC"	"Candida albicans complex"	"Candida albicans albicans"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_CLSS"	"Candida albicans complex"	"Candida albicans claussenii"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_MTLN"	"Candida albicans complex"	"Candida albicans metalondinensis"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_NNLQ"	"Candida albicans complex"	"Candida albicans non-liquefaciens"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_STLL"	"Candida albicans complex"	"Candida albicans stellatoidea"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_TRPC"	"Candida albicans complex"	"Candida albicans tropicalis"
"F_CANDD_ALBC-C"	"F_CANDD_ALBC_VLLM"	"Candida albicans complex"	"Candida albicans vuilleminii"
"F_CANDD_ALBC-C"	"F_CANDD_DBLN"	"Candida albicans complex"	"Candida dubliniensis"
"F_CANDD_GLBR-C"	"F_CANDD_BRCR"	"Candida glabrata complex"	"Candida bracarensis"
"F_CANDD_GLBR-C"	"F_CANDD_GLBR"	"Candida glabrata complex"	"Candida glabrata"
"F_CANDD_GLBR-C"	"F_CANDD_NVRN"	"Candida glabrata complex"	"Candida nivariensis"
"F_CANDD_PRPS-C"	"F_CANDD_MTPS"	"Candida parapsilosis complex"	"Candida metapsilosis"
"F_CANDD_PRPS-C"	"F_CANDD_ORTH"	"Candida parapsilosis complex"	"Candida orthopsilosis"
"F_CANDD_PRPS-C"	"F_CANDD_PRPS"	"Candida parapsilosis complex"	"Candida parapsilosis"
"F_CANDD_PRPS-C"	"F_CANDD_PRPS_HOKK"	"Candida parapsilosis complex"	"Candida parapsilosis hokkaii"
"F_CANDD_PRPS-C"	"F_CANDD_PRPS_INTR"	"Candida parapsilosis complex"	"Candida parapsilosis intermedia"
"F_CANDD_PRPS-C"	"F_CANDD_PRPS_PRPS"	"Candida parapsilosis complex"	"Candida parapsilosis parapsilosis"
"F_CANDD_PRPS-C"	"F_CANDD_PRPS_QURC"	"Candida parapsilosis complex"	"Candida parapsilosis querci"
"F_CANDD_PRPS-C"	"F_CANDD_PRPS_QRCS"	"Candida parapsilosis complex"	"Candida parapsilosis quercus"
"P_CHLMS"	"F_CANDD_DBSH"	"Chilomastix"	"Candida duobushaemulonii"
"P_CHLMS"	"F_CANDD_HMLN"	"Chilomastix"	"Candida haemulonii"
"P_CHLMS"	"B_CANDD_HMLN-C"	"Chilomastix"	"Candida haemulonii complex"
"B_CTRBC_AMLN-C"	"B_CTRBC_AMLN"	"Citrobacter amalonaticus complex"	"Citrobacter amalonaticus"
"B_CTRBC_AMLN-C"	"B_CTRBC_FRMR"	"Citrobacter amalonaticus complex"	"Citrobacter farmeri"
"B_CTRBC_AMLN-C"	"B_CTRBC_SDLK"	"Citrobacter amalonaticus complex"	"Citrobacter sedlakii"
"B_STPHY_CONS"	"B_STPHY_ARGN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus argensis"
"B_STPHY_CONS"	"B_STPHY_ARLT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus arlettae"
"B_STPHY_CONS"	"B_STPHY_ARCL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus auricularis"
"B_STPHY_CONS"	"B_STPHY_BRLS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus borealis"
"B_STPHY_CONS"	"B_STPHY_CAEL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus caeli"
"B_STPHY_CONS"	"B_STPHY_CLDN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus caledonicus"
"B_STPHY_CONS"	"B_STPHY_CANS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus canis"
"B_STPHY_CONS"	"B_STPHY_CPTS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus capitis"
"B_STPHY_CONS"	"B_STPHY_CPTS_CPTS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus capitis capitis"
"B_STPHY_CONS"	"B_STPHY_CPTS_URLY"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus capitis urealyticus"
"B_STPHY_CONS"	"B_STPHY_CPTS_YTCS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus capitis ureolyticus"
"B_STPHY_CONS"	"B_STPHY_CAPR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus caprae"
"B_STPHY_CONS"	"B_STPHY_CRNS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus carnosus"
"B_STPHY_CONS"	"B_STPHY_CRNS_CRNS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus carnosus carnosus"
"B_STPHY_CONS"	"B_STPHY_CRNS_UTLS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus carnosus utilis"
"B_STPHY_CONS"	"B_STPHY_CASE"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus casei"
"B_STPHY_CONS"	"B_STPHY_CSLY"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus caseolyticus"
"B_STPHY_CONS"	"B_STPHY_CHRM"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus chromogenes"
"B_STPHY_CONS"	"B_STPHY_COHN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus cohnii"
"B_STPHY_CONS"	"B_STPHY_COHN_COHN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus cohnii cohnii"
"B_STPHY_CONS"	"B_STPHY_COHN_URLY"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus cohnii urealyticum"
"B_STPHY_CONS"	"B_STPHY_COHN_YTCS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus cohnii urealyticus"
"B_STPHY_CONS"	"B_STPHY_CNDM"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus condimenti"
"B_STPHY_CONS"	"B_STPHY_CRCL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus croceilyticus"
"B_STPHY_CONS"	"B_STPHY_DBCK"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus debuckii"
"B_STPHY_CONS"	"B_STPHY_DVRS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus devriesei"
"B_STPHY_CONS"	"B_STPHY_DRRL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus durrellii"
"B_STPHY_CONS"	"B_STPHY_EDPH"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus edaphicus"
"B_STPHY_CONS"	"B_STPHY_EPDR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus epidermidis"
"B_STPHY_CONS"	"B_STPHY_EQRM"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus equorum"
"B_STPHY_CONS"	"B_STPHY_EQRM_EQRM"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus equorum equorum"
"B_STPHY_CONS"	"B_STPHY_EQRM_LNNS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus equorum linens"
"B_STPHY_CONS"	"B_STPHY_FELS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus felis"
"B_STPHY_CONS"	"B_STPHY_FLRT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus fleurettii"
"B_STPHY_CONS"	"B_STPHY_GLLN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus gallinarum"
"B_STPHY_CONS"	"B_STPHY_HMLY"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus haemolyticus"
"B_STPHY_CONS"	"B_STPHY_HMNS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus hominis"
"B_STPHY_CONS"	"B_STPHY_HMNS_HMNS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus hominis hominis"
"B_STPHY_CONS"	"B_STPHY_HMNS_NVBS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus hominis novobiosepticus"
"B_STPHY_CONS"	"B_STPHY_JTTN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus jettensis"
"B_STPHY_CONS"	"B_STPHY_KLOS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus kloosii"
"B_STPHY_CONS"	"B_STPHY_LNTS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus lentus"
"B_STPHY_CONS"	"B_STPHY_LLYD"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus lloydii"
"B_STPHY_CONS"	"B_STPHY_LGDN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus lugdunensis"
"B_STPHY_CONS"	"B_STPHY_MSSL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus massiliensis"
"B_STPHY_CONS"	"B_STPHY_MCRT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus microti"
"B_STPHY_CONS"	"B_STPHY_MUSC"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus muscae"
"B_STPHY_CONS"	"B_STPHY_NPLN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus nepalensis"
"B_STPHY_CONS"	"B_STPHY_PSTR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus pasteuri"
"B_STPHY_CONS"	"B_STPHY_PTRS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus petrasii"
"B_STPHY_CONS"	"B_STPHY_PTRS_CRCL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus petrasii croceilyticus"
"B_STPHY_CONS"	"B_STPHY_PTRS_JTTN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus petrasii jettensis"
"B_STPHY_CONS"	"B_STPHY_PTRS_PTRS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus petrasii petrasii"
"B_STPHY_CONS"	"B_STPHY_PTRS_PRGN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus petrasii pragensis"
"B_STPHY_CONS"	"B_STPHY_PTTN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus pettenkoferi"
"B_STPHY_CONS"	"B_STPHY_PSCF"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus piscifermentans"
"B_STPHY_CONS"	"B_STPHY_PRGN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus pragensis"
"B_STPHY_CONS"	"B_STPHY_PSDX"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus pseudoxylosus"
"B_STPHY_CONS"	"B_STPHY_PLVR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus pulvereri"
"B_STPHY_CONS"	"B_STPHY_RATT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus ratti"
"B_STPHY_CONS"	"B_STPHY_RSTR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus rostri"
"B_STPHY_CONS"	"B_STPHY_SCCH"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus saccharolyticus"
"B_STPHY_CONS"	"B_STPHY_SPRP"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus saprophyticus"
"B_STPHY_CONS"	"B_STPHY_SPRP_BOVS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus saprophyticus bovis"
"B_STPHY_CONS"	"B_STPHY_SPRP_SPRP"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus saprophyticus saprophyticus"
"B_STPHY_CONS"	"B_STPHY_SCHL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus schleiferi"
"B_STPHY_CONS"	"B_STPHY_SCHL_CGLN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus schleiferi coagulans"
"B_STPHY_CONS"	"B_STPHY_SCHL_SCHL"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus schleiferi schleiferi"
"B_STPHY_CONS"	"B_STPHY_SCIR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus sciuri"
"B_STPHY_CONS"	"B_STPHY_SCIR_CRNT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus sciuri carnaticus"
"B_STPHY_CONS"	"B_STPHY_SCIR_LNTS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus sciuri lentus"
"B_STPHY_CONS"	"B_STPHY_SCIR_RDNT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus sciuri rodentium"
"B_STPHY_CONS"	"B_STPHY_SCIR_SCIR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus sciuri sciuri"
"B_STPHY_CONS"	"B_STPHY_SMLN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus simulans"
"B_STPHY_CONS"	"B_STPHY_STPN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus stepanovicii"
"B_STPHY_CONS"	"B_STPHY_SCCN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus succinus"
"B_STPHY_CONS"	"B_STPHY_SCCN_CASE"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus succinus casei"
"B_STPHY_CONS"	"B_STPHY_SCCN_SCCN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus succinus succinus"
"B_STPHY_CONS"	"B_STPHY_TWNN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus taiwanensis"
"B_STPHY_CONS"	"B_STPHY_URLYT"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus urealyticus"
"B_STPHY_CONS"	"B_STPHY_URLY"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus ureilyticus"
"B_STPHY_CONS"	"B_STPHY_VRTR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus veratri"
"B_STPHY_CONS"	"B_STPHY_VTLN"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus vitulinus"
"B_STPHY_CONS"	"B_STPHY_VTLS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus vitulus"
"B_STPHY_CONS"	"B_STPHY_WRNR"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus warneri"
"B_STPHY_CONS"	"B_STPHY_XYLS"	"Coagulase-negative Staphylococcus (CoNS)"	"Staphylococcus xylosus"
"B_STPHY_COPS"	"B_STPHY_AGNT"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus agnetis"
"B_STPHY_COPS"	"B_STPHY_GNTS"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus argenteus"
"B_STPHY_COPS"	"B_STPHY_CGLN"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus coagulans"
"B_STPHY_COPS"	"B_STPHY_CRNB"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus cornubiensis"
"B_STPHY_COPS"	"B_STPHY_DLPH"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus delphini"
"B_STPHY_COPS"	"B_STPHY_HYCS"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus hyicus"
"B_STPHY_COPS"	"B_STPHY_HYCS_CHRM"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus hyicus chromogenes"
"B_STPHY_COPS"	"B_STPHY_HYCS_HYCS"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus hyicus hyicus"
"B_STPHY_COPS"	"B_STPHY_INTR"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus intermedius"
"B_STPHY_COPS"	"B_STPHY_LUTR"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus lutrae"
"B_STPHY_COPS"	"B_STPHY_PSDN"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus pseudintermedius"
"B_STPHY_COPS"	"B_STPHY_RTRD"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus roterodami"
"B_STPHY_COPS"	"B_STPHY_SCHL_CGLN"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus schleiferi coagulans"
"B_STPHY_COPS"	"B_STPHY_SCHW"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus schweitzeri"
"B_STPHY_COPS"	"B_STPHY_SIMI"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus simiae"
"B_STPHY_COPS"	"B_STPHY_SNGP"	"Coagulase-positive Staphylococcus (CoPS)"	"Staphylococcus singaporensis"
"B_CORYNF"	"B_ARCNB"	"Coryneform bacterium"	"Arcanobacterium"
"B_CORYNF"	"B_ARCNB_HMLY"	"Coryneform bacterium"	"Arcanobacterium haemolyticum"
"B_CORYNF"	"B_BCTRM"	"Coryneform bacterium"	"Brevibacterium"
"B_CORYNF"	"B_BCTRM_CASE"	"Coryneform bacterium"	"Brevibacterium casei"
"B_CORYNF"	"B_BCTRM_EPDR"	"Coryneform bacterium"	"Brevibacterium epidermidis"
"B_CORYNF"	"B_BCTRM_MCBR"	"Coryneform bacterium"	"Brevibacterium mcbrellneri"
"B_CORYNF"	"B_CLLLM"	"Coryneform bacterium"	"Cellulomonas"
"B_CORYNF"	"B_CLLLSM"	"Coryneform bacterium"	"Cellulosimicrobium"
"B_CORYNF"	"B_CLLLSM_CLLL"	"Coryneform bacterium"	"Cellulosimicrobium cellulans"
"B_CORYNF"	"B_CRYNB"	"Coryneform bacterium"	"Corynebacterium"
"B_CORYNF"	"B_CRYNB_ACCL"	"Coryneform bacterium"	"Corynebacterium accolens"
"B_CORYNF"	"B_CRYNB_AFRM"	"Coryneform bacterium"	"Corynebacterium afermentans"
"B_CORYNF"	"B_CRYNB_AFRM_AFRM"	"Coryneform bacterium"	"Corynebacterium afermentans afermentans"
"B_CORYNF"	"B_CRYNB_AFRM_LPPH"	"Coryneform bacterium"	"Corynebacterium afermentans lipophilum"
"B_CORYNF"	"B_CRYNB_AMYC"	"Coryneform bacterium"	"Corynebacterium amycolatum"
"B_CORYNF"	"B_CRYNB_ARGN"	"Coryneform bacterium"	"Corynebacterium argentoratense"
"B_CORYNF"	"B_CRYNB_ARMC"	"Coryneform bacterium"	"Corynebacterium aurimucosum"
"B_CORYNF"	"B_CRYNB_AURS"	"Coryneform bacterium"	"Corynebacterium auris"
"B_CORYNF"	"B_CRYNB_BOVS"	"Coryneform bacterium"	"Corynebacterium bovis"
"B_CORYNF"	"B_CRYNB_COYL"	"Coryneform bacterium"	"Corynebacterium coyleae"
"B_CORYNF"	"B_CRYNB_CYST"	"Coryneform bacterium"	"Corynebacterium cystitidis"
"B_CORYNF"	"B_CRYNB_DPHT"	"Coryneform bacterium"	"Corynebacterium diphtheriae"
"B_CORYNF"	"B_CRYNB_DPHT_DPHT"	"Coryneform bacterium"	"Corynebacterium diphtheriae diphtheriae"
"B_CORYNF"	"B_CRYNB_DPHT_LSNN"	"Coryneform bacterium"	"Corynebacterium diphtheriae lausannense"
"B_CORYNF"	"B_CRYNB_GLCR"	"Coryneform bacterium"	"Corynebacterium glucuronolyticum"
"B_CORYNF"	"B_CRYNB_GLTM"	"Coryneform bacterium"	"Corynebacterium glutamicum"
"B_CORYNF"	"B_CRYNB_JEKM"	"Coryneform bacterium"	"Corynebacterium jeikeium"
"B_CORYNF"	"B_CRYNB_KTSC"	"Coryneform bacterium"	"Corynebacterium kutscheri"
"B_CORYNF"	"B_CRYNB_MCGN"	"Coryneform bacterium"	"Corynebacterium macginleyi"
"B_CORYNF"	"B_CRYNB_MTRC"	"Coryneform bacterium"	"Corynebacterium matruchotii"
"B_CORYNF"	"B_CRYNB_MNTS"	"Coryneform bacterium"	"Corynebacterium minutissimum"
"B_CORYNF"	"B_CRYNB_MCFC"	"Coryneform bacterium"	"Corynebacterium mucifaciens"
"B_CORYNF"	"B_CRYNB_MYCT"	"Coryneform bacterium"	"Corynebacterium mycetoides"
"B_CORYNF"	"B_CRYNB_PLSM"	"Coryneform bacterium"	"Corynebacterium pilosum"
"B_CORYNF"	"B_CRYNB_PRPN"	"Coryneform bacterium"	"Corynebacterium propinquum"
"B_CORYNF"	"B_CRYNB_PSDD"	"Coryneform bacterium"	"Corynebacterium pseudodiphtheriticum"
"B_CORYNF"	"B_CRYNB_PSDT"	"Coryneform bacterium"	"Corynebacterium pseudotuberculosis"
"B_CORYNF"	"B_CRYNB_RENL"	"Coryneform bacterium"	"Corynebacterium renale"
