"guideline"	"type"	"host"	"method"	"site"	"mo"	"rank_index"	"ab"	"ref_tbl"	"disk_dose"	"breakpoint_S"	"breakpoint_R"	"uti"	"is_SDD"
"EUCAST 2024"	"human"	"human"	"DISK"	"Non-meningitis"	"B_ACNTB"	3	"MEM"	"Acinetobacter spp."	"10 mcg"	21	15	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Meningitis"	"B_ACNTB"	3	"MEM"	"Acinetobacter spp."	"10 mcg"	21	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Non-meningitis"	"B_ACNTB"	3	"MEM"	"Acinetobacter spp."		2	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Meningitis"	"B_ACNTB"	3	"MEM"	"Acinetobacter spp."		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"SXT"	"Acinetobacter spp."	"1.25 mcg/23.75 mcg"	14	11	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"SXT"	"Acinetobacter spp."		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"TOB"	"Acinetobacter spp."	"10 mcg"	17	17	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Uncomplicated urinary tract infection"	"B_ACNTB"	3	"TOB"	"Acinetobacter spp."	"10 mcg"	17	17	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"TOB"	"Acinetobacter spp."		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Uncomplicated urinary tract infection"	"B_ACNTB"	3	"TOB"	"Acinetobacter spp."		4	4	TRUE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"AMK"	"ECOFF"		8	8	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"CIP"	"ECOFF"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"COL"	"ECOFF"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"CTX"	"ECOFF"		64	64	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"DFX"	"ECOFF"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"DOR"	"ECOFF"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"GEN"	"ECOFF"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"IPM"	"ECOFF"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"LVX"	"ECOFF"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_ACNTB_BMNN"	2	"MEM"	"ECOFF"	"10 mcg"	21	21	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"MEM"	"ECOFF"		4	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"MFX"	"ECOFF"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"SIT"	"ECOFF"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"SXT"	"ECOFF"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"TGC"	"ECOFF"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"B_ACNTB_BMNN"	2	"TOB"	"ECOFF"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"AMP"	"Aerococcus"	"2 mcg"	26	26	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"AMP"	"Aerococcus"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"CIP"	"Aerococcus"	"5 mcg"	21	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"CIP"	"Aerococcus"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"LVX"	"Aerococcus"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"MEM"	"Aerococcus"	"10 mcg"	31	31	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"MEM"	"Aerococcus"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"NIT"	"Aerococcus"	"100 mcg"	16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"NIT"	"Aerococcus"		16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"NOR"	"Aerococcus"	"10 mcg"	17	17	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"PEN"	"Aerococcus"	"1 unit"	21	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"PEN"	"Aerococcus"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"RIF"	"Aerococcus"	"5 mcg"	25	25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"RIF"	"Aerococcus"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERCC"	3	"VAN"	"Aerococcus"	"5 mcg"	16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERCC"	3	"VAN"	"Aerococcus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_AERCC_SNGN"	2	"PEN"	"ECOFF"	"1 unit"	18	18	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_AERCC_URIN"	2	"AMP"	"ECOFF"	"2 mcg"	24	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERMN"	3	"ATM"	"Aeromonas"	"30 mcg"	29	26	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERMN"	3	"ATM"	"Aeromonas"	"30 mcg"	1	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERMN"	3	"CAZ"	"Aeromonas"	"10 mcg"	24	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERMN"	3	"CAZ"	"Aeromonas"		1	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERMN"	3	"CIP"	"Aeromonas"	"5 mcg"	27	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERMN"	3	"CIP"	"Aeromonas"		0.25	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERMN"	3	"FEP"	"Aeromonas"	"30 mcg"	27	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERMN"	3	"FEP"	"Aeromonas"		1	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERMN"	3	"LVX"	"Aeromonas"	"5 mcg"	27	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERMN"	3	"LVX"	"Aeromonas"		0.5	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_AERMN"	3	"SXT"	"Aeromonas"	"1.25 mcg/23.75 mcg"	19	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_AERMN"	3	"SXT"	"Aeromonas"		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"AMC"	"Gram-negative anaerobes"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"AMP"	"Gram-negative anaerobes"		0.5	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"AMX"	"Gram-negative anaerobes"		0.5	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"CHL"	"Gram-negative anaerobes"		8	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"CLI"	"Gram-negative anaerobes"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"DOR"	"Gram-negative anaerobes"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"ETP"	"Gram-negative anaerobes"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"IMR"	"Gram-negative anaerobes"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"IPM"	"Gram-negative anaerobes"		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"MEM"	"Gram-negative anaerobes"		2	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"MTR"	"Gram-negative anaerobes"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"PEN"	"Gram-negative anaerobes"		0.25	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"PIP"	"Gram-negative anaerobes"		16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"SAM"	"Gram-negative anaerobes"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"TCC"	"Gram-negative anaerobes"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"TIC"	"Gram-negative anaerobes"		16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-NEG"	1	"TZP"	"Gram-negative anaerobes"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"AMC"	"Gram-positive anaerobes"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"AMP"	"Gram-positive anaerobes"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"AMX"	"Gram-positive anaerobes"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"CHL"	"Gram-positive anaerobes"		8	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"CLI"	"Gram-positive anaerobes"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"DOR"	"Gram-positive anaerobes"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"ETP"	"Gram-positive anaerobes"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"IMR"	"Gram-positive anaerobes"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"IPM"	"Gram-positive anaerobes"		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"MEM"	"Gram-positive anaerobes"		2	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"MTR"	"Gram-positive anaerobes"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"PEN"	"Gram-positive anaerobes"		0.25	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"PIP"	"Gram-positive anaerobes"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"SAM"	"Gram-positive anaerobes"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"TCC"	"Gram-positive anaerobes"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"TIC"	"Gram-positive anaerobes"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"TZP"	"Gram-positive anaerobes"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ANAER-POS"	1	"VAN"	"Gram-positive anaerobes"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"CIP"	"Bacillus sp."	"5 mcg"	50	23	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"CIP"	"Bacillus sp."		1e-04	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"CLI"	"Bacillus sp."	"2 mcg"	17	17	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"CLI"	"Bacillus sp."		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"ERY"	"Bacillus sp."	"15 mcg"	24	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"ERY"	"Bacillus sp."		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"IPM"	"Bacillus sp."	"10 mcg"	30	30	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"IPM"	"Bacillus sp."		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"LNZ"	"Bacillus sp."	"10 mcg"	22	22	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"LNZ"	"Bacillus sp."		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"LVX"	"Bacillus sp."	"5 mcg"	50	23	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"LVX"	"Bacillus sp."		1e-04	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"MEM"	"Bacillus sp."	"10 mcg"	25	25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"MEM"	"Bacillus sp."		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Screen"	"B_BCLLS"	3	"NOR"	"Bacillus sp."	"10 mcg"	21	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS"	3	"VAN"	"Bacillus sp."	"5 mcg"	10	10	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS"	3	"VAN"	"Bacillus sp."		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"AMX"	"Bacillus anthracis"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BCLLS_ANTH"	2	"CIP"	"ECOFF"	"5 mcg"	27	27	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"CIP"	"Bacillus anthracis"	"5 mcg"	50	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"CIP"	"Bacillus anthracis"		1e-04	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"CLI"	"Bacillus anthracis"	"2 mcg"	17	17	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"CLI"	"Bacillus anthracis"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"DOX"	"Bacillus anthracis"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"LNZ"	"Bacillus anthracis"	"10 mcg"	20	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"LNZ"	"Bacillus anthracis"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BCLLS_ANTH"	2	"LVX"	"ECOFF"	"5 mcg"	27	27	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"LVX"	"Bacillus anthracis"	"5 mcg"	50	23	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"LVX"	"Bacillus anthracis"		1e-04	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BCLLS_ANTH"	2	"PEN"	"ECOFF"	"1 unit"	20	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"PEN"	"Bacillus anthracis"	"1 unit"	50	18	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"PEN"	"Bacillus anthracis"		1e-04	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BCLLS_ANTH"	2	"RIF"	"ECOFF"	"5 mcg"	15	15	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"RIF"	"Bacillus anthracis"	"5 mcg"	12	12	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"RIF"	"Bacillus anthracis"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BCLLS_ANTH"	2	"TCY"	"ECOFF"	"30 mcg"	26	26	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"TCY"	"Bacillus anthracis"	"30 mcg"	26	26	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"TCY"	"Bacillus anthracis"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BCLLS_ANTH"	2	"VAN"	"ECOFF"	"5 mcg"	10	10	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCLLS_ANTH"	2	"VAN"	"Bacillus anthracis"	"5 mcg"	10	10	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCLLS_ANTH"	2	"VAN"	"Bacillus anthracis"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"AMC"	"Bacteroides"	"20 mcg/10 mcg"	14	14	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"AMC"	"Bacteroides"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"CLI"	"Bacteroides"	"2 mcg"	10	10	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"CLI"	"Bacteroides"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"ETP"	"Bacteroides"	"10 mcg"	23	23	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"ETP"	"Bacteroides"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"IPM"	"Bacteroides"	"10 mcg"	29	29	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"IPM"	"Bacteroides"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"MEM"	"Bacteroides"	"10 mcg"	28	28	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"MEM"	"Bacteroides"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"MTR"	"Bacteroides"	"5 mcg"	25	25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"MTR"	"Bacteroides"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"SAM"	"Bacteroides"	"10 mcg/10 mcg"	25	25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"SAM"	"Bacteroides"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BCTRD"	3	"TZP"	"Bacteroides"	"30 mcg/6 mcg"	24	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BCTRD"	3	"TZP"	"Bacteroides"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BRCLL_MLTN"	2	"CIP"	"ECOFF"	"5 mcg"	28	28	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BRCLL_MLTN"	2	"CIP"	"Brucella melitensis"	"5 mcg"	50	27	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BRCLL_MLTN"	2	"CIP"	"Brucella melitensis"		1e-04	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Meningitis"	"B_BRCLL_MLTN"	2	"CRO"	"Brucella melitensis"	"30 mcg"	30	30	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Meningitis"	"B_BRCLL_MLTN"	2	"CRO"	"Brucella melitensis"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BRCLL_MLTN"	2	"DOX"	"Brucella melitensis"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BRCLL_MLTN"	2	"GEN"	"ECOFF"	"10 mcg"	24	24	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_BRCLL_MLTN"	2	"GEN"	"Brucella melitensis"	"10 mcg"	23	23	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_BRCLL_MLTN"	2	"GEN"	"Brucella melitensis"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"DISK"		"B_BRCLL_MLTN"	2	"LVX"	"ECOFF"	"5 mcg"	31	31	FALSE	FALSE
