"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Oxygen tolerance"
2764,P-1,"DSM 6159, ATCC 49358, OCM 112",1,"Acetivibrio aldrichii",anaerobe
2838,Z-7026,"DSM 17461, VKM B-2349",1,"Clostridium alkalicellulosi",anaerobe
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,"Acetivibrio cellulolyticus",anaerobe
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",anaerobe
17675,77-6,"DSM 3005, ATCC 33324",1,"Acetivibrio ethanolgignens",anaerobe
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",anaerobe
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",anaerobe
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",anaerobe
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",anaerobe
2728,LQ8,"DSM 1313",0,"Acetivibrio thermocellus",anaerobe
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,"Acetivibrio thermocellus",anaerobe
2731,"JW 20","DSM 4150, ATCC 31549",0,"Acetivibrio thermocellus",anaerobe
22965,YS,"DSM 25991",0,"Acetivibrio thermocellus",anaerobe
22966,AD2,"DSM 25992",0,"Acetivibrio thermocellus",anaerobe
131392,ST07-YE,"DSM 27512, JCM 19400",1,"Acetoanaerobium pronyense",anaerobe
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,"Acetoanaerobium sticklandii",anaerobe
2,,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,"Acetobacter aceti",aerobe
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae","obligate aerobe"
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum","obligate aerobe"
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",aerobe
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni","obligate aerobe"
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,"Acetobacter orleanensis",aerobe
11,,"DSM 11825, LTH 2458",1,"Acetobacter pomorum",aerobe
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis","obligate aerobe"
5409,"Z-4391, Z-S11","DSM 8239",1,"Acetobacterium bakii",anaerobe
5399,,"DSM 2925, WoProp 1",1,"Acetobacterium carbinolicum",anaerobe
24007,SyrA5,"DSM 16427, ATCC BAA 990",0,"Acetobacterium carbinolicum",anaerobe
5410,MC,"DSM 11527",0,"Acetobacterium dehalogenans",anaerobe
5408,"Z-4290, Z-M13","DSM 8238",1,"Acetobacterium fimetarium",anaerobe
5400,"MuME 1","DSM 4132",1,"Acetobacterium malicum",anaerobe
5407,"Z-4092, Z-B12","DSM 8237",1,"Acetobacterium paludosum",anaerobe
5403,,"DSM 2396, Gra EG 12",0,"Acetobacterium sp.",anaerobe
5404,KoMAc1,"DSM 5193",0,"Acetobacterium sp.",anaerobe
5405,"LuTria 3","DSM 8909",0,"Acetobacterium sp.",anaerobe
5406,"LuPhet 1","DSM 9077",0,"Acetobacterium sp.",anaerobe
5411,Z-4493,"DSM 9173",1,"Acetobacterium tundrae",anaerobe
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,"Acetobacterium wieringae",anaerobe
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,"Acetobacterium woodii",anaerobe
5978,Z-7288,"DSM 5501, ATCC 49924",1,"Acetohalobium arabaticum",anaerobe
1580,P,"DSM 20664, ATCC 43122",1,"Acetomicrobium flavidum",anaerobe
17779,OS1,"DSM 22491, ATCC BAA 1850",1,"Acetomicrobium hydrogeniformans",anaerobe
,,,,,"obligate anaerobe"
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",anaerobe
,,,,,"obligate anaerobe"
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",anaerobe
,,,,,"obligate anaerobe"
17111,APO-1,"DSM 6540, ATCC 51454",1,"Acetonema longum",anaerobe
17112,GMP-3,"DSM 11382",0,"Acetonema sp.",anaerobe
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,"Acholeplasma equirhinis","facultative anaerobe"
156528,,"CCUG 62438, LMG 26852",1,"Achromobacter aegrifaciens",aerobe
154532,,"CCUG 54268",0,"Achromobacter aegrifaciens",aerobe
156529,,"CCUG 62439, LMG 26853",0,"Achromobacter aegrifaciens",aerobe
156530,,"CCUG 62440, LMG 26854",0,"Achromobacter aegrifaciens",aerobe
156531,,"CCUG 62441, LMG 26855",0,"Achromobacter aegrifaciens",aerobe
156532,,"CCUG 62442, LMG 26856",0,"Achromobacter aegrifaciens",aerobe
156533,,"CCUG 62443, LMG 11300",0,"Achromobacter aegrifaciens",aerobe
156893,,"CCUG 66433",0,"Achromobacter aegrifaciens",aerobe
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",aerobe
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",aerobe
130142,AU15230,"DSM 29601, CCUG 61966, LMG 26690",1,"Achromobacter animicus",aerobe
156477,,"CCUG 61965, LMG 26689",0,"Achromobacter animicus",aerobe
156478,,"CCUG 61967, LMG 26691",0,"Achromobacter animicus",aerobe
156534,,"CCUG 62444, LMG 26857",1,"Achromobacter anxifer",aerobe
156535,,"CCUG 62445, LMG 26858",0,"Achromobacter anxifer",aerobe
157257,,"CCUG 71677",0,"Achromobacter anxifer",aerobe
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",aerobe
136807,,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,"Achromobacter denitrificans",aerobe
141232,,"CCUG 307",0,"Achromobacter denitrificans",aerobe
152884,,"CCUG 47876",0,"Achromobacter denitrificans",microaerophile
154536,,"CCUG 54280",0,"Achromobacter denitrificans",aerobe
156250,,"CCUG 60861",0,"Achromobacter denitrificans",aerobe
156464,,"CCUG 61950, LMG 26680",0,"Achromobacter denitrificans",aerobe
134918,,"CIP 110711, LMG 26840, CCUG 62421",1,"Achromobacter dolens",aerobe
156522,,"CCUG 62422, LMG 26841",0,"Achromobacter dolens",aerobe
156523,,"CCUG 62423, LMG 26842",0,"Achromobacter dolens",aerobe
157181,,"CCUG 70224",0,"Achromobacter dolens",aerobe
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84",1,"Achromobacter insolitus",aerobe
152561,,"CCUG 47056, LMG 5997",0,"Achromobacter insolitus",aerobe
152562,,"CCUG 47058, LMG 6000",0,"Achromobacter insolitus",aerobe
152563,,"CCUG 47059, LMG 5999",0,"Achromobacter insolitus",aerobe
152564,,"CCUG 47060, LMG 6001",0,"Achromobacter insolitus",aerobe
152565,,"CCUG 47061, LMG 6010",0,"Achromobacter insolitus",aerobe
152692,,"CCUG 47382",0,"Achromobacter insolitus",aerobe
154942,,"CCUG 55796",0,"Achromobacter insolitus",aerobe
155004,,"CCUG 56040",0,"Achromobacter insolitus",aerobe
155015,,"CCUG 56089",0,"Achromobacter insolitus",aerobe
155038,,"CCUG 56202",0,"Achromobacter insolitus",aerobe
156414,,"CCUG 61621",0,"Achromobacter insolitus",aerobe
136698,,"CIP 110710, LMG 26845, CCUG 62426",1,"Achromobacter insuavis",aerobe
152701,,"CCUG 47413",0,"Achromobacter insuavis",aerobe
156524,,"CCUG 62425, LMG 26844",0,"Achromobacter insuavis",aerobe
156525,,"CCUG 62427, LMG 26846",0,"Achromobacter insuavis",aerobe
156526,,"CCUG 62428, LMG 7054",0,"Achromobacter insuavis",aerobe
156527,,"CCUG 62429, LMG 26848",0,"Achromobacter insuavis",aerobe
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",aerobe
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",aerobe
130145,,"DSM 29603, CCUG 61968, LMG 26692",0,"Achromobacter marplatensis",aerobe
156465,,"CCUG 61951, LMG 26682",0,"Achromobacter marplatensis",aerobe
156479,,"CCUG 61969, LMG 26693",0,"Achromobacter marplatensis",aerobe
156480,,"CCUG 61970, LMG 26694",0,"Achromobacter marplatensis",aerobe
130143,,"DSM 29602, LMG 26685, CCUG 61961",1,"Achromobacter mucicolens",aerobe
154540,,"CCUG 54301",0,"Achromobacter mucicolens",aerobe
156473,,"CCUG 61960, LMG 26684",0,"Achromobacter mucicolens",aerobe
156474,,"CCUG 61962, LMG 26686",0,"Achromobacter mucicolens",aerobe
156475,,"CCUG 61963, LMG 26687",0,"Achromobacter mucicolens",aerobe
156476,,"CCUG 61964, LMG 26688",0,"Achromobacter mucicolens",aerobe
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",aerobe
151709,,"CCUG 44691",0,"Achromobacter piechaudii",aerobe
156466,,"CCUG 61952, LMG 6101",0,"Achromobacter piechaudii",aerobe
156467,,"CCUG 61953, LMG 6103",0,"Achromobacter piechaudii",aerobe
130144,,"DSM 29617, CCUG 61972, LMG 26696",1,"Achromobacter pulmonis",aerobe
154048,,"CCUG 52128",0,"Achromobacter pulmonis",aerobe
156481,,"CCUG 61971, LMG 26788",0,"Achromobacter pulmonis",aerobe
156482,,"CCUG 61973, LMG 26697",0,"Achromobacter pulmonis",aerobe
154204,,"CCUG 52730",0,"Achromobacter ruhlandii",aerobe
154413,,"CCUG 53465",0,"Achromobacter ruhlandii",aerobe
156468,,"CCUG 61954, LMG 1864, JCM 20746, CDC B7076, GIFU 956, IAM 12687",0,"Achromobacter ruhlandii",aerobe
156469,,"CCUG 61955, LMG 3328, CIP 21.75",0,"Achromobacter ruhlandii",aerobe
156515,,"CCUG 62287",0,"Achromobacter ruhlandii",aerobe
156655,,"CCUG 63915",0,"Achromobacter ruhlandii",aerobe
311,,"DSM 30031, ATCC 337, CCUG 228, NCTC 3233",0,"Achromobacter sp.",aerobe
154621,,"CCUG 54610",0,"Achromobacter sp.",aerobe
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,"Achromobacter spanius",aerobe
152566,,"CCUG 47063, LMG 5896",0,"Achromobacter spanius",aerobe
152567,,"CCUG 47064, LMG 5909",0,"Achromobacter spanius",aerobe
153058,,"CCUG 48395",0,"Achromobacter spanius",aerobe
156470,,"CCUG 61956, LMG 26683",0,"Achromobacter spanius",aerobe
136823,,"CIP 61.20, NBIMCC 151, CCUG 723, LMG 3439, IAM 12598, JCM 20674, GIFU 1055",0,"Achromobacter xylosoxidans",aerobe
141242,,"CCUG 367",0,"Achromobacter xylosoxidans",aerobe
150731,,"CCUG 42111",0,"Achromobacter xylosoxidans",aerobe
152509,,"CCUG 46971",0,"Achromobacter xylosoxidans",aerobe
152776,,"CCUG 47596",0,"Achromobacter xylosoxidans",aerobe
154348,,"CCUG 53197",0,"Achromobacter xylosoxidans",aerobe
154449,,"CCUG 53665",0,"Achromobacter xylosoxidans",aerobe
155054,,"CCUG 56295",0,"Achromobacter xylosoxidans",aerobe
155276,,"CCUG 57172",0,"Achromobacter xylosoxidans",aerobe
155881,,"CCUG 59527",0,"Achromobacter xylosoxidans",aerobe
155975,,"CCUG 59837",0,"Achromobacter xylosoxidans",aerobe
156009,,"CCUG 60034",0,"Achromobacter xylosoxidans",aerobe
156412,,"CCUG 61615",0,"Achromobacter xylosoxidans",aerobe
156471,,"CCUG 61957, LMG 1865",0,"Achromobacter xylosoxidans",aerobe
156472,,"CCUG 61958, LMG 3466",0,"Achromobacter xylosoxidans",aerobe
157260,,"CCUG 72784",0,"Achromobacter xylosoxidans",aerobe
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082",1,"Achromobacter xylosoxidans subsp. xylosoxidans",aerobe
300,,"DSM 26050, CCUG 48584",0,"Achromobacter xylosoxidans subsp. xylosoxidans",aerobe
302,R-9501,"DSM 26088, CCUG 42363",0,"Achromobacter xylosoxidans subsp. xylosoxidans",aerobe
304,,"DSM 26073, CCUG 48386",0,"Achromobacter xylosoxidans subsp. xylosoxidans",aerobe
307,,"DSM 26102, CCUG 56600",0,"Achromobacter xylosoxidans subsp. xylosoxidans",aerobe
17960,,"DSM 2784, Glu 65",1,"Acidaminobacter hydrogenoformans",anaerobe
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,"Acidaminococcus fermentans",anaerobe
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",anaerobe
,,,,,"obligate anaerobe"
16643,,"DSM 3772, JCM 9191, LEI 10",1,"Acidianus ambivalens",anaerobe
16641,Sp3a/1,"DSM 6334",0,"Acidianus brierleyi",aerobe
,,,,,anaerobe
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,"Acidianus infernus",anaerobe
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile","obligate aerobe"
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",aerobe
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",aerobe
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",aerobe
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",aerobe
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",aerobe
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",aerobe
17799,1904,"DSM 11585, ATCC BAA 268, JCM 11320",1,"Acidilobus aceticus",anaerobe
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,"Acidilobus saccharovorans",anaerobe
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",aerobe
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",aerobe
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",aerobe
12633,14X,"DSM 4900, ATCC 25562, VPI 0399",1,"Acidipropionibacterium acidipropionici",anaerobe
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402",0,"Acidipropionibacterium acidipropionici","obligate anaerobe"
12635,"61, P-21","DSM 20273, ATCC 4965, NCDO 563, NCIB 5958, CCUG 36815, JCM 6427, IFO 13153, NBRC 13153, NCIMB 5958, VPI 5171",0,"Acidipropionibacterium acidipropionici",anaerobe
130545,IGBL13,"DSM 25450, CECT 8062",1,"Acidipropionibacterium damnosum",microaerophile
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,"Acidipropionibacterium jensenii",anaerobe
12647,56,"DSM 20274, ATCC 4964, CCM 122, NCDO 569, NCIB 5967, CCUG 36818",0,"Acidipropionibacterium jensenii",aerobe
,,,,,anaerobe
12648,23,"DSM 20275, ATCC 4871, NCDO 571, NCIB 5963",0,"Acidipropionibacterium jensenii",anaerobe
12649,24,"DSM 20278, ATCC 4867, NCDO 572, NCIB 5960",0,"Acidipropionibacterium jensenii",anaerobe
12650,20,"DSM 20279, ATCC 4870, CCM 1860, NCDO 565, NCIB 5962, CCUG 28150, LMG 16727, JCM 6433, NCIMB 5962, VPI 5169",0,"Acidipropionibacterium jensenii",anaerobe
,,,,,microaerophile
12656,M5,"DSM 13435, CIP 109962, CNCM I-2360",1,"Acidipropionibacterium microaerophilum",anaerobe
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,"Acidipropionibacterium olivae",anaerobe
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,"Acidipropionibacterium thoenii",anaerobe
,,,,,microaerophile
12655,19,"DSM 20277, ATCC 4872, NCDO 854, NCIB 8072, CCUG 36817",0,"Acidipropionibacterium thoenii",anaerobe
,,,,,microaerophile
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",aerobe
,,,,,anaerobe
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum","obligate aerobe"
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae","obligate aerobe"
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",aerobe
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus","facultative anaerobe"
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans","facultative anaerobe"
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus","facultative anaerobe"
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",aerobe
,,,,,"obligate aerobe"
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",aerobe
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,"Acidocella aluminiidurans",aerobe
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",aerobe
2900,,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,"Acidovorax anthurii",aerobe
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni","facultative aerobe"
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,"Acidovorax defluvii",aerobe
2897,G8B1,"DSM 12578",0,"Acidovorax defluvii",aerobe
,,,,,anaerobe
154119,,"CCUG 52432",0,"Acidovorax defluvii",aerobe
2886,332,"DSM 550, ATCC 17695, CCUG 15919, LMG 6598",0,"Acidovorax facilis",aerobe
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",aerobe
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",aerobe
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",aerobe
,,,,,anaerobe
153463,,"CCUG 49687",0,"Acidovorax soli",aerobe
156596,,"CCUG 63251",0,"Acidovorax soli",aerobe
2895,"PIV 3D","DSM 14692",0,"Acidovorax sp.",aerobe
,,,,,anaerobe
148621,,"CCUG 35734",0,"Acidovorax sp.",aerobe
152994,,"CCUG 48206",0,"Acidovorax sp.",aerobe
155905,,"CCUG 59619",0,"Acidovorax sp.",aerobe
156069,,"CCUG 60261",0,"Acidovorax sp.",aerobe
143305,,"CCUG 18338",0,"Acidovorax temperans",aerobe
143306,,"CCUG 18350, LMG 8915",0,"Acidovorax temperans",aerobe
153494,,"CCUG 49751",0,"Acidovorax temperans",aerobe
154275,,"CCUG 52951",0,"Acidovorax temperans",aerobe
154489,,"CCUG 53823",0,"Acidovorax temperans",aerobe
155136,,"CCUG 56561",0,"Acidovorax temperans",microaerophile
156037,,"CCUG 60147",0,"Acidovorax temperans",aerobe
156324,,"CCUG 61165",0,"Acidovorax temperans",aerobe
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",aerobe
23434,T469,"DSM 19572",1,"Aciduliprofundum boonei",anaerobe
156949,,"CCUG 67281, CCM 8611",0,"Acinetobacter albensis",aerobe
157122,,"JCM 18575, KACC 16906, CCUG 69584",1,"Acinetobacter apis",aerobe
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,"Acinetobacter baumannii",aerobe
155203,,"CCUG 56897",0,"Acinetobacter baumannii",aerobe
155238,,"CCUG 57035",0,"Acinetobacter baumannii",aerobe
155258,,"CCUG 57123",0,"Acinetobacter baumannii",aerobe
155299,,"CCUG 57249",0,"Acinetobacter baumannii",aerobe
155300,,"CCUG 57250",0,"Acinetobacter baumannii",aerobe
155619,,"CCUG 58437",0,"Acinetobacter baumannii",aerobe
155963,,"CCUG 59798",0,"Acinetobacter baumannii",aerobe
156173,,"CCUG 60610",0,"Acinetobacter baumannii",aerobe
156174,,"CCUG 60611",0,"Acinetobacter baumannii",aerobe
156265,,"CCUG 60931",0,"Acinetobacter baumannii",aerobe
156279,,"CCUG 61012",0,"Acinetobacter baumannii",aerobe
156817,,"CCUG 65543",0,"Acinetobacter baumannii",aerobe
156985,,"CCUG 68164",0,"Acinetobacter baumannii",aerobe
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,"Acinetobacter baylyi",aerobe
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,"Acinetobacter beijerinckii",aerobe
155026,,"CCUG 56139",0,"Acinetobacter beijerinckii",aerobe
155028,,"CCUG 56141",0,"Acinetobacter beijerinckii",aerobe
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",aerobe
155494,,"CCUG 57886",0,"Acinetobacter bereziniae",aerobe
155495,,"CCUG 57887",0,"Acinetobacter bereziniae",aerobe
156008,,"CCUG 60027",0,"Acinetobacter bereziniae",aerobe
156031,,"CCUG 60128",0,"Acinetobacter bereziniae",aerobe
156056,,"CCUG 60234",0,"Acinetobacter bereziniae",aerobe
156097,,"CCUG 60359",0,"Acinetobacter bereziniae",aerobe
156867,,"CCUG 66190",0,"Acinetobacter bereziniae",aerobe
156885,,"CCUG 66331",0,"Acinetobacter bereziniae",aerobe
132192,,"DSM 102855, CCM 8462, CCUG 63842, CIP 110496, ANC 3994",1,"Acinetobacter bohemicus",aerobe
130455,,"DSM 100419, JCM 18977, KCTC 42081, LMG 28467, NCCP 644, CCUG 69707",0,"Acinetobacter bohemicus",aerobe
156649,,"CCUG 63843",0,"Acinetobacter bohemicus",aerobe
156650,,"CCUG 63844",0,"Acinetobacter bohemicus",aerobe
130449,,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,"Acinetobacter boissieri",aerobe
8131,4BO2,"CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,"Acinetobacter bouvetii",aerobe
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636",1,"Acinetobacter brisouii",aerobe
142792,,"CCUG 14821",0,"Acinetobacter calcoaceticus",aerobe
155464,,"CCUG 57816, LMG 10517",0,"Acinetobacter calcoaceticus",aerobe
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549",1,"Acinetobacter celticus",aerobe
,,,,,"obligate aerobe"
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,"Acinetobacter colistiniresistens",aerobe
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,"Acinetobacter courvalinii",aerobe
,,,,,"obligate aerobe"
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii","obligate aerobe"
133175,JVAP01,"CECT 9134, LMG 29605",1,"Acinetobacter lactucae",aerobe
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,"Acinetobacter dispersus",aerobe
,,,,,"obligate aerobe"
139491,,"CIP 110481, NIPH 1867, CCUG 34437",0,"Acinetobacter dispersus",aerobe
140912,114,"CCUG 65204, DSM 27228",1,"Acinetobacter equi",aerobe
130452,"UG 60467","CCUG 68482, DSM 28097, ANC 4275, LMG 27960",1,"Acinetobacter gandensis",aerobe
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250",1,"Acinetobacter guillouiae",aerobe
144716,,"CCUG 26387",0,"Acinetobacter guillouiae",aerobe
155000,,"CCUG 56021",0,"Acinetobacter guillouiae",aerobe
155236,,"CCUG 57018",0,"Acinetobacter guillouiae",aerobe
