# -------------------------------------------------------------------------------------------------------------------------------
# For editing this EUCAST reference file, these values can all be used for targeting antibiotics:
# aminoglycosides, aminopenicillins, antifungals, antimycobacterials, betalactams, betalactams_with_inhibitor, carbapenems, cephalosporins, cephalosporins_1st, cephalosporins_2nd, cephalosporins_3rd, cephalosporins_4th, cephalosporins_5th, cephalosporins_except_CAZ, fluoroquinolones, glycopeptides, glycopeptides_except_lipo, lincosamides, lipoglycopeptides, macrolides, oxazolidinones, penicillins, polymyxins, quinolones, streptogramins, tetracyclines, tetracyclines_except_TGC, trimethoprims, ureidopenicillins
# and all separate EARS-Net letter codes such as AMC. They can be separated by comma: 'AMC, fluoroquinolones'.
# The 'if_mo_property' column can be any column name from the AMR::microorganisms data set, or 'genus_species' or 'gramstain'. If 'this_value' exists in AMR::microorganisms.groups$mo_group_name it will be expanded in eucast_rules() to all relevant species occuring in microorganisms.groups$mo_name before further processing of the line in this file.
# The like.is.one_of column must be 'like' or 'is' or 'one_of' ('like' will read the 'this_value' column as regular expression)
# The EUCAST guideline contains references to the 'Burkholderia cepacia complex'. All species in this group are noted on the 'B.cepacia' sheet of the EUCAST Clinical Breakpoint v.10.0 Excel file of 2020 and later
# >>>>> IF YOU WANT TO IMPORT THIS FILE INTO YOUR OWN SOFTWARE, HAVE THE FIRST 9 LINES SKIPPED <<<<<
# -------------------------------------------------------------------------------------------------------------------------------			
reference.rule_group	reference.version	reference.rule	if_mo_property	like.is.one_of	this_value	and_these_antibiotics	have_these_values	then_change_these_antibiotics	to_value	note
Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	R	AMP, AMX, PIP, TZP, TIC	R	
Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	S	DOX	S	
Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	I	DOX	I	
Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	R	DOX	R	
Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	S	AZM, CLR	S	
Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	I	AZM, CLR	I	
Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	R	AZM, CLR	R	
Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	S	DOX	S	
Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	I	DOX	I	
Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	R	DOX	R	
Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	S	AZM, CLR	S	
Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	I	AZM, CLR	I	
Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	R	AZM, CLR	R	
Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	S	DOX	S	
Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	I	DOX	I	
Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	R	DOX	R	
Breakpoints	10	Enterobacterales (Order)	order	is	Enterobacterales	AMP	S	AMX	S	
Breakpoints	10	Enterobacterales (Order)	order	is	Enterobacterales	AMP	I	AMX	I	
Breakpoints	10	Enterobacterales (Order)	order	is	Enterobacterales	AMP	R	AMX	R	
Breakpoints	10	Enterococcus	genus	is	Enterococcus	AMP	S	AMX, AMC, PIP, TZP	S	
Breakpoints	10	Enterococcus	genus	is	Enterococcus	AMP	I	AMX, AMC, PIP, TZP	I	
Breakpoints	10	Enterococcus	genus	is	Enterococcus	AMP	R	AMX, AMC, PIP, TZP	R	
Breakpoints	10	Enterococcus	genus	is	Enterococcus	NOR	S	CIP, LVX	S	
Breakpoints	10	Enterococcus	genus	is	Enterococcus	NOR	I	CIP, LVX	I	
Breakpoints	10	Enterococcus	genus	is	Enterococcus	NOR	R	CIP, LVX	R	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	S	AMX, PIP	S	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	I	AMX, PIP	I	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	R	AMX, PIP	R	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	S	TZP	S	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	I	TZP	I	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	R	TZP	R	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	NAL	S	CIP, LVX, MFX, OFX	S	
Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	TCY	S	DOX, MNO	S	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	PEN	S	AMP, AMX	S	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	PEN	I	AMP, AMX	I	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	PEN	R	AMP, AMX	R	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	ERY	S	AZM, CLR	S	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	ERY	I	AZM, CLR	I	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	ERY	R	AZM, CLR	R	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	TCY	S	DOX	S	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	TCY	I	DOX	I	
Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	TCY	R	DOX	R	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	S	TZP	S	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	I	TZP	I	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	R	TZP	R	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	NAL	S	CIP, LVX, MFX, OFX	S	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	S	AZM, CLR, RXT	S	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	I	AZM, CLR, RXT	I	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	R	AZM, CLR, RXT	R	
Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	TCY	S	DOX, MNO	S	
Breakpoints	10	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	S	AMP, AMX	S	
Breakpoints	10	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	I	AMP, AMX	I	
Breakpoints	10	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	R	AMP, AMX	R	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	S	betalactams_with_inhibitor	S	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	R, S	OXA, FLC	S	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	R	betalactams	R	
Breakpoints	10	Staphylococcus	genus_species	is	Staphylococcus saprophyticus	AMP	S	AMX, AMC, PIP, TZP	S	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	S	carbapenems, cephalosporins_except_CAZ	S	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	I	carbapenems, cephalosporins_except_CAZ	I	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	R	carbapenems, cephalosporins_except_CAZ	R	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	NOR	S	CIP, LVX, MFX, OFX	S	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	ERY	S	AZM, CLR, RXT	S	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	ERY	I	AZM, CLR, RXT	I	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	ERY	R	AZM, CLR, RXT	R	
Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	TCY	S	DOX, MNO	S	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	S	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	S	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	I	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	I	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	R	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	R	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	NOR	S	MFX	S	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	NOR	S	LVX	I	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	ERY	S	AZM, CLR, RXT	S	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	ERY	I	AZM, CLR, RXT	I	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	ERY	R	AZM, CLR, RXT	R	
Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	TCY	S	DOX, MNO	S	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	AMP	S	AMX, AMC, PIP, TZP	S	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	AMP	I	AMX, AMC, PIP, TZP	I	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	AMP	R	AMX, AMC, PIP, TZP	R	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	NOR	S	MFX	S	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	NOR	S	LVX	I	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	ERY	S	AZM, CLR, RXT	S	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	ERY	I	AZM, CLR, RXT	I	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	ERY	R	AZM, CLR, RXT	R	
Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	TCY	S	DOX, MNO	S	
Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	AMP	S	AMX, AMC, PIP, TZP	S	
Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	AMP	I	AMX, AMC, PIP, TZP	I	
Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	AMP	R	AMX, AMC, PIP, TZP	R	
Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	S	fluoroquinolones	S	
Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	I	fluoroquinolones	I	
Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	R	fluoroquinolones	R	
Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	S	LVX	S	
Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	I	LVX	I	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus sanguinicola	CIP	R	LVX	R	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	S	fluoroquinolones	S	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	I	fluoroquinolones	I	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	R	fluoroquinolones	R	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	S	LVX	S	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	I	LVX	I	
Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	R	LVX	R	
Breakpoints	11	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	S	AMP, AMX, PIP, TIC	S	
Breakpoints	11	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	I	AMP, AMX, PIP, TIC	I	
Breakpoints	11	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	R	AMP, AMX, PIP, TIC	R	
Breakpoints	11	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	S	AMP, AMX, PIP, TIC	S	
Breakpoints	11	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	I	AMP, AMX, PIP, TIC	I	
Breakpoints	11	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	R	AMP, AMX, PIP, TIC	R	
Breakpoints	11	Bacillus	genus	is	Bacillus	NOR	S	fluoroquinolones	S	added in 11
Breakpoints	11	Bacillus	genus	is	Bacillus	NOR	I	fluoroquinolones	I	added in 11
Breakpoints	11	Bacillus	genus	is	Bacillus	NOR	R	fluoroquinolones	R	added in 11
Breakpoints	11	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	S	DOX	S	
Breakpoints	11	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	I	DOX	I	
Breakpoints	11	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	R	DOX	R	
Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	S	AZM, CLR	S	
Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	I	AZM, CLR	I	
Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	R	AZM, CLR	R	
Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	S	DOX	S	
Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	I	DOX	I	
Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	R	DOX	R	
Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	S	AZM, CLR	S	
Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	I	AZM, CLR	I	
Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	R	AZM, CLR	R	
Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	S	DOX	S	
Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	I	DOX	I	
Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	R	DOX	R	
Breakpoints	11	Enterobacterales (Order)	order	is	Enterobacterales	AMP	S	AMX	S	
Breakpoints	11	Enterobacterales (Order)	order	is	Enterobacterales	AMP	I	AMX	I	
Breakpoints	11	Enterobacterales (Order)	order	is	Enterobacterales	AMP	R	AMX	R	
Breakpoints	11	Enterococcus	genus	is	Enterococcus	AMP	S	AMX, AMC, PIP, TZP	S	
Breakpoints	11	Enterococcus	genus	is	Enterococcus	AMP	I	AMX, AMC, PIP, TZP	I	
Breakpoints	11	Enterococcus	genus	is	Enterococcus	AMP	R	AMX, AMC, PIP, TZP	R	
Breakpoints	11	Enterococcus	genus	is	Enterococcus	NOR	S	CIP, LVX	S	
Breakpoints	11	Enterococcus	genus	is	Enterococcus	NOR	I	CIP, LVX	I	
Breakpoints	11	Enterococcus	genus	is	Enterococcus	NOR	R	CIP, LVX	R	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	S	AMX, PIP	S	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	I	AMX, PIP	I	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	R	AMX, PIP	R	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	S	TZP	S	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	I	TZP	I	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	R	TZP	R	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	NAL	S	CIP, LVX, MFX, OFX	S	
Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	TCY	S	DOX, MNO	S	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	PEN	S	AMP, AMX	S	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	PEN	I	AMP, AMX	I	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	PEN	R	AMP, AMX	R	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	ERY	S	AZM, CLR	S	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	ERY	I	AZM, CLR	I	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	ERY	R	AZM, CLR	R	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	TCY	S	DOX	S	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	TCY	I	DOX	I	
Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	TCY	R	DOX	R	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	S	TZP	S	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	I	TZP	I	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	R	TZP	R	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	NAL	S	CIP, LVX, MFX, OFX	S	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	S	AZM, CLR, RXT	S	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	I	AZM, CLR, RXT	I	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	R	AZM, CLR, RXT	R	
Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	TCY	S	DOX, MNO	S	
Breakpoints	11	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	S	AMP, AMX	S	
Breakpoints	11	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	I	AMP, AMX	I	
Breakpoints	11	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	R	AMP, AMX	R	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	S	betalactams_with_inhibitor	S	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	R, S	OXA, FLC	S	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	R	betalactams	R	
Breakpoints	11	Staphylococcus	genus_species	is	Staphylococcus saprophyticus	AMP	S	AMX, AMC, PIP, TZP	S	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	S	carbapenems, cephalosporins_except_CAZ	S	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	I	carbapenems, cephalosporins_except_CAZ	I	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	R	carbapenems, cephalosporins_except_CAZ	R	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	NOR	S	CIP, LVX, MFX, OFX	S	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	ERY	S	AZM, CLR, RXT	S	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	ERY	I	AZM, CLR, RXT	I	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	ERY	R	AZM, CLR, RXT	R	
Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	TCY	S	DOX, MNO	S	
Breakpoints	11	Staphylococcus	genus_species	is	Staphylococcus aureus	FOX-S	S	CTX, CRO	I	
Breakpoints	11	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	S	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	S	
Breakpoints	11	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	I	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	I	
Breakpoints	11	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	R	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	R	
