"guideline"	"method"	"site"	"mo"	"mo_name"	"rank_index"	"ab"	"ab_name"	"ref_tbl"	"disk_dose"	"breakpoint_S"	"breakpoint_R"	"uti"
"EUCAST 2022"	"MIC"	"Oral"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMC"	"Amoxicillin/clavulanic acid"	"S. pneumoniae"		0.5	1	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"AMC"	"Amoxicillin/clavulanic acid"	"PK/PD"		2	8	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"	"30"	18	18	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"	"30"	18	18	TRUE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"		8	8	TRUE
"EUCAST 2022"	"DISK"		"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."	"30"	19	19	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."	"30"	19	19	TRUE
"EUCAST 2022"	"MIC"		"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."		8	8	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."		8	8	TRUE
"EUCAST 2022"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"	"30"	15	15	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"	"30"	15	15	TRUE
"EUCAST 2022"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"		16	16	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"		16	16	TRUE
"EUCAST 2022"	"DISK"		"B_STPHY_AURS"	"Staphylococcus aureus"	2	"AMK"	"Amikacin"	"Staphs"	"30"	15	15	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_AURS"	"Staphylococcus aureus"	2	"AMK"	"Amikacin"	"Staphs"		16	16	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"AMK"	"Amikacin"	"Staphs"	"30"	15	15	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"AMK"	"Amikacin"	"Staphs"		16	16	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"AMK"	"Amikacin"	"Staphs"	"30"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"AMK"	"Amikacin"	"Staphs"		8	8	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"AMK"	"Amikacin"	"PK/PD"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMP"	"Ampicillin"	"Enterobacteriaceae"	"10"	14	14	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMP"	"Ampicillin"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_AERCC"	"Aerococcus"	3	"AMP"	"Ampicillin"	"Aerococcus"		26	26	FALSE
"EUCAST 2022"	"MIC"		"B_AERCC"	"Aerococcus"	3	"AMP"	"Ampicillin"	"Aerococcus"		0.25	0.25	FALSE
"EUCAST 2022"	"DISK"		"B_ENTRC"	"Enterococcus"	3	"AMP"	"Ampicillin"	"Enterococcus"	"2"	10	8	FALSE
"EUCAST 2022"	"MIC"		"B_ENTRC"	"Enterococcus"	3	"AMP"	"Ampicillin"	"Enterococcus"		4	8	FALSE
"EUCAST 2022"	"DISK"	"Non-meningitis"	"B_HMPHL"	"Haemophilus"	3	"AMP"	"Ampicillin"	"H. influenzae"	"2"	18	18	FALSE
"EUCAST 2022"	"MIC"	"Non-meningitis"	"B_HMPHL"	"Haemophilus"	3	"AMP"	"Ampicillin"	"H. influenzae"		1	1	FALSE
"EUCAST 2022"	"MIC"		"B_KGLLA_KING"	"Kingella kingae"	2	"AMP"	"Ampicillin"	"Kingella"		0.064	0.064	FALSE
"EUCAST 2022"	"DISK"	"IV"	"B_LISTR_MNCY"	"Listeria monocytogenes"	2	"AMP"	"Ampicillin"	"L. monocytogenes"	"2"	16	16	FALSE
"EUCAST 2022"	"MIC"	"IV"	"B_LISTR_MNCY"	"Listeria monocytogenes"	2	"AMP"	"Ampicillin"	"L. monocytogenes"		1	1	FALSE
"EUCAST 2022"	"MIC"	"Non-meningitis"	"B_NESSR_MNNG"	"Neisseria meningitidis"	2	"AMP"	"Ampicillin"	"N. meningitidis"		0.125	1	FALSE
"EUCAST 2022"	"MIC"		"B_PSTRL_MLTC"	"Pasteurella multocida"	2	"AMP"	"Ampicillin"	"Pasteurella multocida"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY_SPRP"	"Staphylococcus saprophyticus"	2	"AMP"	"Ampicillin"	"Staphs"	"2"	18	18	FALSE
"EUCAST 2022"	"DISK"	"Non-meningitis"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMP"	"Ampicillin"	"S. pneumoniae"	"2"	22	19	FALSE
"EUCAST 2022"	"MIC"	"Non-meningitis"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMP"	"Ampicillin"	"S. pneumoniae"		0.5	1	FALSE
"EUCAST 2022"	"MIC"	"Meningitis"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMP"	"Ampicillin"	"S. pneumoniae"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_VIRI"	"Viridans Group Streptococcus (VGS)"	2	"AMP"	"Ampicillin"	"Viridans strept"	"2"	21	15	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_VIRI"	"Viridans Group Streptococcus (VGS)"	2	"AMP"	"Ampicillin"	"Viridans strept"		0.5	2	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"AMP"	"Ampicillin"	"PK/PD"		2	8	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMX"	"Amoxicillin"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2022"	"MIC"		"B_ENTRC"	"Enterococcus"	3	"AMX"	"Amoxicillin"	"Enterococcus"		4	8	FALSE
"EUCAST 2022"	"MIC"	"Oral"	"B_HLCBCT_PYLR"	"Helicobacter pylori"	2	"AMX"	"Amoxicillin"	"H. pylori"		0.125	0.125	FALSE
"EUCAST 2022"	"MIC"	"Non-meningitis"	"B_HMPHL"	"Haemophilus"	3	"AMX"	"Amoxicillin"	"H. influenzae"		2	2	FALSE
"EUCAST 2022"	"MIC"	"Oral"	"B_HMPHL"	"Haemophilus"	3	"AMX"	"Amoxicillin"	"H. influenzae"		0.001	2	FALSE
"EUCAST 2022"	"MIC"		"B_KGLLA_KING"	"Kingella kingae"	2	"AMX"	"Amoxicillin"	"Kingella"		0.125	0.125	FALSE
"EUCAST 2022"	"MIC"	"Non-meningitis"	"B_NESSR_MNNG"	"Neisseria meningitidis"	2	"AMX"	"Amoxicillin"	"N. meningitidis"		0.125	1	FALSE
"EUCAST 2022"	"MIC"		"B_PSTRL_MLTC"	"Pasteurella multocida"	2	"AMX"	"Amoxicillin"	"Pasteurella multocida"		1	1	FALSE
"EUCAST 2022"	"MIC"	"Meningitis"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMX"	"Amoxicillin"	"S. pneumoniae"		0.5	0.5	FALSE
"EUCAST 2022"	"MIC"	"Oral"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMX"	"Amoxicillin"	"S. pneumoniae"		0.5	1	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_VIRI"	"Viridans Group Streptococcus (VGS)"	2	"AMX"	"Amoxicillin"	"Viridans strept"		0.5	2	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"AMX"	"Amoxicillin"	"PK/PD"		2	8	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD"	"Candida"	3	"ANI"	"Anidulafungin"	"Candida"		0.064	0.064	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_ALBC"	"Candida albicans"	2	"ANI"	"Anidulafungin"	"Candida"		0.032	0.032	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_KRUS"	"Candida krusei"	2	"ANI"	"Anidulafungin"	"Candida"		0.064	0.064	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_PRPS"	"Candida parapsilosis"	2	"ANI"	"Anidulafungin"	"Candida"		4	4	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_TRPC"	"Candida tropicalis"	2	"ANI"	"Anidulafungin"	"Candida"		0.064	0.064	FALSE
"EUCAST 2022"	"MIC"		"F_PICHI"	"Pithomyces djbhatii"	3	"ANI"	"Anidulafungin"	"Candida"		0.064	0.064	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"ATM"	"Aztreonam"	"Enterobacteriaceae"	"30"	26	21	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"ATM"	"Aztreonam"	"Enterobacteriaceae"		1	4	FALSE
"EUCAST 2022"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"ATM"	"Aztreonam"	"Pseudo"	"30"	50	18	FALSE
"EUCAST 2022"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"ATM"	"Aztreonam"	"Pseudo"		0.001	16	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"ATM"	"Aztreonam"	"PK/PD"		4	8	FALSE
"EUCAST 2022"	"MIC"		"B_HMPHL"	"Haemophilus"	3	"AZM"	"Azithromycin"	"H. influenzae"		4	4	FALSE
"EUCAST 2022"	"MIC"		"B_KGLLA_KING"	"Kingella kingae"	2	"AZM"	"Azithromycin"	"Kingella"		0.25	0.25	FALSE
"EUCAST 2022"	"MIC"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"AZM"	"Azithromycin"	"M. catarrhalis"		0.25	0.5	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY"	"Staphylococcus"	3	"AZM"	"Azithromycin"	"Staphs"		2	2	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT"	"Streptococcus"	3	"AZM"	"Azithromycin"	"Strep A, B, C, G"		0.25	0.5	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AZM"	"Azithromycin"	"S. pneumoniae"		0.25	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_ALGN"	"Vibrio alginolyticus"	2	"AZM"	"Azithromycin"	"Vibrio"	"15"	16	16	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_ALGN"	"Vibrio alginolyticus"	2	"AZM"	"Azithromycin"	"Vibrio"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_CHLR"	"Vibrio cholerae"	2	"AZM"	"Azithromycin"	"Vibrio"	"15"	16	16	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_CHLR"	"Vibrio cholerae"	2	"AZM"	"Azithromycin"	"Vibrio"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_FLVL"	"Vibrio fluvialis"	2	"AZM"	"Azithromycin"	"Vibrio"	"15"	16	16	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_FLVL"	"Vibrio fluvialis"	2	"AZM"	"Azithromycin"	"Vibrio"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_PRHM"	"Vibrio parahaemolyticus"	2	"AZM"	"Azithromycin"	"Vibrio"	"15"	16	16	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_PRHM"	"Vibrio parahaemolyticus"	2	"AZM"	"Azithromycin"	"Vibrio"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_VLNF"	"Vibrio vulnificus"	2	"AZM"	"Azithromycin"	"Vibrio"	"15"	16	16	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_VLNF"	"Vibrio vulnificus"	2	"AZM"	"Azithromycin"	"Vibrio"		4	4	FALSE
"EUCAST 2022"	"MIC"		"B_MYCBC_TBRC"	"Mycobacterium tuberculosis"	2	"BDQ"	"Bedaquiline"	"M. tuberculosis"		0.25	0.25	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"BPR"	"Ceftobiprole"	"Enterobacteriaceae"		23	23	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"BPR"	"Ceftobiprole"	"Staphs"	"5"	17	17	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"BPR"	"Ceftobiprole"	"Staphs"		2	2	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"BPR"	"Ceftobiprole"	"PK/PD"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CAZ"	"Ceftazidime"	"Enterobacteriaceae"	"10"	22	19	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CAZ"	"Ceftazidime"	"Enterobacteriaceae"		1	4	FALSE
"EUCAST 2022"	"DISK"		"B_AERMN"	"Aeromonas"	3	"CAZ"	"Ceftazidime"	"Aeromonas"	"10ug"	24	21	FALSE
"EUCAST 2022"	"MIC"		"B_AERMN"	"Aeromonas"	3	"CAZ"	"Ceftazidime"	"Aeromonas"		1	4	FALSE
"EUCAST 2022"	"DISK"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"CAZ"	"Ceftazidime"	"B. pseudomallei"	"10ug"	50	18	FALSE
"EUCAST 2022"	"MIC"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"CAZ"	"Ceftazidime"	"B. pseudomallei"		0.001	8	FALSE
"EUCAST 2022"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"CAZ"	"Ceftazidime"	"Pseudo"	"10"	50	17	FALSE
"EUCAST 2022"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"CAZ"	"Ceftazidime"	"Pseudo"		0.001	8	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_ALGN"	"Vibrio alginolyticus"	2	"CAZ"	"Ceftazidime"	"Vibrio"	"10"	22	22	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_ALGN"	"Vibrio alginolyticus"	2	"CAZ"	"Ceftazidime"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_CHLR"	"Vibrio cholerae"	2	"CAZ"	"Ceftazidime"	"Vibrio"	"10"	22	22	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_CHLR"	"Vibrio cholerae"	2	"CAZ"	"Ceftazidime"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_FLVL"	"Vibrio fluvialis"	2	"CAZ"	"Ceftazidime"	"Vibrio"	"10"	22	22	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_FLVL"	"Vibrio fluvialis"	2	"CAZ"	"Ceftazidime"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_PRHM"	"Vibrio parahaemolyticus"	2	"CAZ"	"Ceftazidime"	"Vibrio"	"10"	22	22	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_PRHM"	"Vibrio parahaemolyticus"	2	"CAZ"	"Ceftazidime"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_VLNF"	"Vibrio vulnificus"	2	"CAZ"	"Ceftazidime"	"Vibrio"	"10"	22	22	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_VLNF"	"Vibrio vulnificus"	2	"CAZ"	"Ceftazidime"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"CAZ"	"Ceftazidime"	"PK/PD"		4	8	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"CEC"	"Cefaclor"	"S. pneumoniae"	"30"	50	28	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"CEC"	"Cefaclor"	"S. pneumoniae"		0.001	0.5	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CFM"	"Cefixime"	"Enterobacteriaceae"	"5"	17	17	TRUE
"EUCAST 2022"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CFM"	"Cefixime"	"Enterobacteriaceae"		1	1	TRUE
"EUCAST 2022"	"DISK"		"B_HMPHL"	"Haemophilus"	3	"CFM"	"Cefixime"	"H. influenzae"	"5"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_HMPHL"	"Haemophilus"	3	"CFM"	"Cefixime"	"H. influenzae"		0.125	0.125	FALSE
"EUCAST 2022"	"DISK"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"CFM"	"Cefixime"	"M. catarrhalis"	"5"	21	18	FALSE
"EUCAST 2022"	"MIC"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"CFM"	"Cefixime"	"M. catarrhalis"		0.5	1	FALSE
"EUCAST 2022"	"MIC"		"B_NESSR_GNRR"	"Neisseria gonorrhoeae"	2	"CFM"	"Cefixime"	"N. gonorrhoeae"		0.125	0.125	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CFR"	"Cefadroxil"	"Enterobacteriaceae"	"30"	12	12	TRUE
"EUCAST 2022"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CFR"	"Cefadroxil"	"Enterobacteriaceae"		16	16	TRUE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CHL"	"Chloramphenicol"	"Enterobacteriaceae"	"30"	17	17	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CHL"	"Chloramphenicol"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"CHL"	"Chloramphenicol"	"B. pseudomallei"	"30ug"	50	22	FALSE
"EUCAST 2022"	"MIC"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"CHL"	"Chloramphenicol"	"B. pseudomallei"		0.001	8	FALSE
"EUCAST 2022"	"DISK"		"B_HMPHL"	"Haemophilus"	3	"CHL"	"Chloramphenicol"	"H. influenzae"	"30"	28	28	FALSE
"EUCAST 2022"	"MIC"		"B_HMPHL"	"Haemophilus"	3	"CHL"	"Chloramphenicol"	"H. influenzae"		2	2	FALSE
"EUCAST 2022"	"MIC"	"Meningitis"	"B_NESSR_MNNG"	"Neisseria meningitidis"	2	"CHL"	"Chloramphenicol"	"N. meningitidis"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY"	"Staphylococcus"	3	"CHL"	"Chloramphenicol"	"Staphs"	"30"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY"	"Staphylococcus"	3	"CHL"	"Chloramphenicol"	"Staphs"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT"	"Streptococcus"	3	"CHL"	"Chloramphenicol"	"Strep A, B, C, G"	"30"	19	19	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT"	"Streptococcus"	3	"CHL"	"Chloramphenicol"	"Strep A, B, C, G"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"CHL"	"Chloramphenicol"	"S. pneumoniae"	"30"	21	21	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"CHL"	"Chloramphenicol"	"S. pneumoniae"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CIP"	"Ciprofloxacin"	"Enterobacteriaceae"	"5"	25	22	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"CIP"	"Ciprofloxacin"	"Enterobacteriaceae"		0.25	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_ACNTB"	"Acinetobacter"	3	"CIP"	"Ciprofloxacin"	"Acinetobacter spp."	"5"	50	21	FALSE
"EUCAST 2022"	"MIC"		"B_ACNTB"	"Acinetobacter"	3	"CIP"	"Ciprofloxacin"	"Acinetobacter spp."		0.001	1	FALSE
"EUCAST 2022"	"DISK"		"B_AERCC"	"Aerococcus"	3	"CIP"	"Ciprofloxacin"	"Aerococcus"		21	21	FALSE
"EUCAST 2022"	"MIC"		"B_AERCC"	"Aerococcus"	3	"CIP"	"Ciprofloxacin"	"Aerococcus"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_AERMN"	"Aeromonas"	3	"CIP"	"Ciprofloxacin"	"Aeromonas"	"5ug"	27	24	FALSE
"EUCAST 2022"	"MIC"		"B_AERMN"	"Aeromonas"	3	"CIP"	"Ciprofloxacin"	"Aeromonas"		0.25	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_BCLLS"	"Bacillus"	3	"CIP"	"Ciprofloxacin"	"Bacillus sp."	"5ug"	50	23	FALSE
"EUCAST 2022"	"MIC"		"B_BCLLS"	"Bacillus"	3	"CIP"	"Ciprofloxacin"	"Bacillus sp."		0.001	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_CMPYL_COLI"	"Campylobacter coli"	2	"CIP"	"Ciprofloxacin"	"C. jejuni, C. coli"	"5ug"	50	26	FALSE
"EUCAST 2022"	"MIC"		"B_CMPYL_COLI"	"Campylobacter coli"	2	"CIP"	"Ciprofloxacin"	"C. jejuni, C. coli"		0.001	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_CMPYL_JEJN"	"Campylobacter jejuni"	2	"CIP"	"Ciprofloxacin"	"C. jejuni, C. coli"	"5ug"	50	26	FALSE
