GUIDELINES	TESTMETHOD	POTENCY	ORG_CODE	BREAKPOINT_TYPE	HOST	SITE_INF	REF_TABLE	REF_SEQ	WHON5_CODE	WHON5_TEST	DISK_R	DISK_I	DISK_S	MIC_S	MIC_R
CLSI12	MIC		GCT	Human	Human		M45 Table 1		CHL	CHL_NM				4	8
CLSI12	MIC		HA-	Human	Human		Table 2E	43.00	CHL	CHL_NM				2	8
CLSI12	MIC		KIN	Human	Human		M45 Table 7		CHL	CHL_NM				4	16
CLSI12	MIC		LEU	Human	Human		M45 Table 10		CHL	CHL_NM				8	32
CLSI12	MIC		nme	Human	Human		Table 2I	14.00	CHL	CHL_NM				2	8
CLSI12	MIC		PAS	Human	Human		M45 Table 13		CHL	CHL_NM				2	
CLSI12	MIC		PED	Human	Human		M45 Table 14		CHL	CHL_NM				8	32
CLSI12	MIC		PLE	Human	Human		M45 Table 2		CHL	CHL_NM				8	32
CLSI12	MIC		snv	Human	Human		M45 Table 1		CHL	CHL_NM				4	8
CLSI12	MIC		spn	Human	Human		Table 2G	41.00	CHL	CHL_NM				4	8
CLSI12	MIC		STR	Human	Human		Table 2H-1	21.00	CHL	CHL_NM				4	16
CLSI12	MIC		SVI	Human	Human		Table 2H-2	21.00	CHL	CHL_NM				4	16
CLSI12	MIC		yep	Human	Human		M45 Table 16		CHL	CHL_NM				8	32
CLSI12	MIC		ENT	Human	Human		Table 2D	17.00	CHL	CHL_NM				8	32
CLSI12	MIC		NFR	Human	Human		Table 2B-5	36.00	CHL	CHL_NM				8	32
CLSI12	MIC		pce	Human	Human		Table 2B-3	7.00	CHL	CHL_NM				8	32
CLSI12	MIC		pma	Human	Human		Table 2B-4	6.00	CHL	CHL_NM				8	32
CLSI12	MIC		STA	Human	Human		Table 2C	69.00	CHL	CHL_NM				8	32
CLSI12	MIC		HA-	Human	Human		Table 2E	9.00	CID	CID_NM				4	16
CLSI12	MIC		STA	Human	Human		Table 2C	15.00	CID	CID_NM				8	32
CLSI12	MIC		NFR	Human	Human		Table 2B-5	26.00	CIP	CIP_ND5					
EUCST14	MIC		ckr	Human	Human		Candida	11.00	AMB	AMB_EM				1	2
CLSI12	MIC		AER	Human	Human		M45 Table 2		CIP	CIP_NM				1	4
CLSI12	MIC		AGT	Human	Human		M45 Table 7		CIP	CIP_NM				1	4
CLSI12	MIC		ban	Human	Human		M45 Table 16		CIP	CIP_NM				0.25	
CLSI12	MIC		bca	Human	Human		M45 Table 12		CIP	CIP_NM				1	
CLSI12	MIC		BCS	Human	Human		M45 Table 3		CIP	CIP_NM				1	4
CLSI12	MIC		CAM	Human	Human		M45 Table 3		CIP	CIP_NM				1	4
CLSI12	MIC		CAR	Human	Human		M45 Table 7		CIP	CIP_NM				1	4
CLSI12	MIC		COF	Human	Human		M45 Table 5		CIP	CIP_NM				1	4
CLSI12	MIC		EIK	Human	Human		M45 Table 7		CIP	CIP_NM				1	4
CLSI12	MIC		erh	Human	Human		M45 Table 6		CIP	CIP_NM				1	
CLSI12	MIC		ftu	Human	Human		M45 Table 16		CIP	CIP_NM				0.5	
CLSI12	MIC		GCT	Human	Human		M45 Table 1		CIP	CIP_NM				1	4
CLSI12	MIC		HA-	Human	Human		Table 2E	31.00	CIP	CIP_NM				1	
CLSI12	MIC		KIN	Human	Human		M45 Table 7		CIP	CIP_NM				1	4
CLSI12	MIC		ngo	Human	Human		Table 2F	15.00	CIP	CIP_NM				0.064	1
CLSI12	MIC		nme	Human	Human		Table 2I	8.00	CIP	CIP_NM				0.032	0.12
CLSI12	MIC		PLE	Human	Human		M45 Table 2		CIP	CIP_NM				1	4
CLSI12	MIC		SAL	Human	Human	Intestinal	Table 2A		CIP	CIP_NM				1	4
CLSI12	MIC		SAL	Human	Human	Extraintestinal	Table 2A		CIP	CIP_NM				0.064	1
CLSI12	MIC		sat	Human	Human		Table 2A		CIP	CIP_NM				0.064	1
CLSI12	MIC		snv	Human	Human		M45 Table 1		CIP	CIP_NM				1	4
CLSI12	MIC		spn	Human	Human		Table 2G		CIP	CIP_NM					
CLSI12	MIC		yep	Human	Human		M45 Table 16		CIP	CIP_NM				0.25	
CLSI12	MIC		AC-	Human	Human		Table 2B-2	22.00	CIP	CIP_NM				1	4
CLSI12	MIC		ENT	Human	Human		Table 2D	10.00	CIP	CIP_NM				1	4
CLSI12	MIC		NFR	Human	Human		Table 2B-5	26.00	CIP	CIP_NM				1	4
CLSI12	MIC		pae	Human	Human		Table 2B-1	18.00	CIP	CIP_NM				1	4
CLSI12	MIC		STA	Human	Human		Table 2C	51.00	CIP	CIP_NM				1	4
EUCST14	MIC		cpa	Human	Human		Candida	14.00	ANI	ANI_EM				0.002	8
CLSI12	MIC		ANA	Human	Human		Table 2J	23.00	CLI	CLI_NM				2	8
CLSI12	MIC		ban	Human	Human		M45 Table 16		CLI	CLI_NM					
CLSI12	MIC		bca	Human	Human		M45 Table 12		CLI	CLI_NM				0.5	4
CLSI12	MIC		BCS	Human	Human		M45 Table 3		CLI	CLI_NM				0.5	4
CLSI12	MIC		COF	Human	Human		M45 Table 5		CLI	CLI_NM				0.5	4
CLSI12	MIC		erh	Human	Human		M45 Table 6		CLI	CLI_NM				0.25	1
CLSI12	MIC		GCT	Human	Human		M45 Table 1		CLI	CLI_NM				0.25	1
CLSI12	MIC		LAC	Human	Human		M45 Table 9		CLI	CLI_NM				0.5	2
CLSI12	MIC		snv	Human	Human		M45 Table 1		CLI	CLI_NM				0.25	1
CLSI12	MIC		spn	Human	Human		Table 2G	43.00	CLI	CLI_NM				0.25	1
CLSI12	MIC		STR	Human	Human		Table 2H-1	22.00	CLI	CLI_NM				0.25	1
CLSI12	MIC		SVI	Human	Human		Table 2H-2	22.00	CLI	CLI_NM				0.25	1
CLSI12	MIC		STA	Human	Human		Table 2C	63.00	CLI	CLI_NM				0.5	4
CLSI12	MIC		AGT	Human	Human		M45 Table 7		CLR	CLR_NM				8	32
CLSI12	MIC		bca	Human	Human		M45 Table 12		CLR	CLR_NM				1	
CLSI12	MIC		CAR	Human	Human		M45 Table 7		CLR	CLR_NM				8	32
CLSI12	MIC		EIK	Human	Human		M45 Table 7		CLR	CLR_NM				8	32
CLSI12	MIC		HA-	Human	Human		Table 2E	28.00	CLR	CLR_NM				8	32
CLSI12	MIC		hpy	Human	Human		M45 Table 8		CLR	CLR_NM				0.25	1
CLSI12	MIC		KIN	Human	Human		M45 Table 7		CLR	CLR_NM				8	32
CLSI12	MIC		spn	Human	Human		Table 2G	29.00	CLR	CLR_NM				0.25	1
CLSI11	DISK	5ug	NFR	Human	Human				GAT	GAT_ND5					
CLSI11	DISK	10ut	NFR	Human	Human				GEN	GEN_ND10					
CLSI11	DISK	10ug	NFR	Human	Human				IPM	IPM_ND10					
CLSI11	DISK	10ug	NFR	Human	Human				LOM	LOM_ND10					
CLSI11	DISK	5ug	NFR	Human	Human				LVX	LVX_ND5					
CLSI11	DISK	10ug	NFR	Human	Human				MEM	MEM_ND10					
CLSI11	DISK	75ug	NFR	Human	Human				MEZ	MEZ_ND75					
CLSI11	DISK	30ug	NFR	Human	Human				MNO	MNO_ND30					
CLSI11	DISK	30ug	NFR	Human	Human				MOX	MOX_ND30					
CLSI11	DISK	30ug	NFR	Human	Human				NET	NET_ND30					
CLSI11	DISK	10ug	NFR	Human	Human				NOR	NOR_ND10					
CLSI11	DISK	5ug	NFR	Human	Human				OFX	OFX_ND5					
CLSI11	DISK	100ug	NFR	Human	Human				PIP	PIP_ND100					
CLSI11	DISK	300ug	NFR	Human	Human				POL	POL_ND300					
CLSI11	DISK	200-300ug	NFR	Human	Human				SMX	SMX_ND200					
CLSI11	DISK	200-300ug	NFR	Human	Human				SOX	SOX_ND200					
CLSI11	DISK	200-300ug	NFR	Human	Human				SSS	SSS_ND200					
CLSI11	DISK	1.25ug/23.75ug	NFR	Human	Human				SXT	SXT_ND1_2					
CLSI11	DISK	75ug	NFR	Human	Human				TCC	TCC_ND75					
CLSI11	DISK	30ug	NFR	Human	Human				TCY	TCY_ND30					
CLSI11	DISK	75ug	NFR	Human	Human				TIC	TIC_ND75					
CLSI11	DISK	10ug	NFR	Human	Human				TOB	TOB_BD10					
CLSI11	DISK	100ug	NFR	Human	Human				TZP	TZP_ND100					
CLSI11	DISK	10ug	ngo	Human	Human				CAT	CAT_ND10		-	29		
CLSI11	DISK	30ug	ngo	Human	Human				CAZ	CAZ_ND30		-	31		
CLSI11	DISK	5ug	ngo	Human	Human				CFM	CFM_ND5		-	31		
CLSI11	DISK	5ug	ngo	Human	Human				CIP	CIP_ND5	27	28-40	41		
CLSI11	DISK	30ug	ngo	Human	Human				CMZ	CMZ_ND30	27	28-32	33		
CLSI11	DISK	10ug	ngo	Human	Human				CPD	CPD_ND10		-	29		
CLSI11	DISK	30ug	ngo	Human	Human				CRO	CRO_ND30		-	35		
CLSI11	DISK	30ug	ngo	Human	Human				CTT	CTT_ND30	19	20-25	26		
CLSI11	DISK	30ug	ngo	Human	Human				CTX	CTX_ND30		-	31		
CLSI11	DISK	30ug	ngo	Human	Human				CXM	CXM_ND30	25	26-30	31		
CLSI11	DISK	30ug	ngo	Human	Human				CZX	CZX_ND30		-	38		
CLSI11	DISK	10ug	ngo	Human	Human				ENX	ENX_ND10	31	32-35	36		
CLSI11	DISK	30ug	ngo	Human	Human				FEP	FEP_ND30		-	31		
CLSI11	DISK	5ug	ngo	Human	Human				FLE	FLE_ND5	28	29-34	35		
CLSI11	DISK	30ug	ngo	Human	Human				FOX	FOX_ND30	23	24-27	28		
CLSI11	DISK	5ug	ngo	Human	Human				GAT	GAT_ND5	33	34-37	38		
CLSI11	DISK	5ug	ngo	Human	Human				GRX	GRX_ND5	27	28-36	37		
CLSI11	DISK	10ug	ngo	Human	Human				LOM	LOM_ND10	26	27-37	38		
CLSI11	DISK	5ug	ngo	Human	Human				OFX	OFX_ND5	24	25-30	31		
CLSI11	DISK	10units	ngo	Human	Human				PEN	PEN_ND10	26	27-46	47		
CLSI11	DISK	30ug	ngo	Human	Human				TCY	TCY_ND30	30	31-37	38		
CLSI11	DISK	10ug	ngo	Human	Human				TVA	TVA_ND10		-	34		
CLSI11	MIC		ngo	Human	Human				CAT	CAT_NM				0.5	
CLSI11	MIC		ngo	Human	Human				CAZ	CAZ_NM				0.5	
CLSI11	MIC		ngo	Human	Human				CFM	CFM_NM				0.25	
CLSI11	MIC		ngo	Human	Human				CIP	CIP_NM				0.064	1
CLSI11	MIC		ngo	Human	Human				CMZ	CMZ_NM				2	8
CLSI11	MIC		ngo	Human	Human				CPD	CPD_NM				0.5	
CLSI11	MIC		ngo	Human	Human				CRO	CRO_NM				0.25	
CLSI11	MIC		ngo	Human	Human				CTT	CTT_NM				2	8
CLSI11	MIC		ngo	Human	Human				CTX	CTX_NM				0.5	
CLSI11	MIC		ngo	Human	Human				CXM	CXM_NM				1	4
CLSI11	MIC		ngo	Human	Human				CZX	CZX_NM				0.5	
CLSI11	MIC		ngo	Human	Human				ENX	ENX_NM				0.5	2
CLSI11	MIC		ngo	Human	Human				FEP	FEP_NM				0.5	
CLSI11	MIC		ngo	Human	Human				FLE	FLE_NM				0.25	1
CLSI11	MIC		ngo	Human	Human				FOX	FOX_NM				2	8
CLSI11	MIC		ngo	Human	Human				GAT	GAT_NM				0.125	0.5
CLSI11	MIC		ngo	Human	Human				GRX	GRX_NM				0.064	1
CLSI11	MIC		ngo	Human	Human				LOM	LOM_NM				0.125	2
CLSI11	MIC		ngo	Human	Human				OFX	OFX_NM				0.25	2
CLSI11	MIC		ngo	Human	Human				PEN	PEN_NM				0.064	2
CLSI11	MIC		ngo	Human	Human				TCY	TCY_NM				0.25	2
CLSI11	MIC		ngo	Human	Human				TVA	TVA_NM				0.25	
CLSI11	DISK	10ug	nme	Human	Human				AMP	AMP_ND10					
CLSI11	DISK	15ug	nme	Human	Human				AZM	AZM_ND15		-	20		
CLSI11	DISK	30ug	nme	Human	Human				CHL	CHL_ND30	19	20-25	26		
CLSI11	DISK	5ug	nme	Human	Human				CIP	CIP_ND5	32	33-34	35		
CLSI11	DISK	30ug	nme	Human	Human				CRO	CRO_ND30		-	34		
CLSI11	DISK	30ug	nme	Human	Human				CTX	CTX_ND30		-	34		
CLSI11	DISK	5ug	nme	Human	Human				LVX	LVX_ND5					
CLSI11	DISK	10ug	nme	Human	Human				MEM	MEM_ND10		-	30		
CLSI11	DISK	30ug	nme	Human	Human				MNO	MNO_ND30		-	26		
CLSI11	DISK	30ug	nme	Human	Human				NAL	NAL_ND30	25		26		
CLSI11	DISK	10units	nme	Human	Human				PEN	PEN_ND10					
CLSI12	MIC		STR	Human	Human		Table 2H-1	13.00	CLR	CLR_NM				0.25	1
CLSI12	MIC		SVI	Human	Human		Table 2H-2	13.00	CLR	CLR_NM				0.25	1
CLSI12	MIC		STA	Human	Human		Table 2C	44.00	CLR	CLR_NM				2	8
CLSI12	MIC		ANA	Human	Human		Table 2J	14.00	CMZ	CMZ_NM				16	64
CLSI12	MIC		ngo	Human	Human		Table 2F	7.00	CMZ	CMZ_NM				2	8
CLSI12	MIC		STA	Human	Human		Table 2C	14.00	CMZ	CMZ_NM				16	64
CLSI12	MIC		NFR	Human	Human		Table 2B-5	17.00	COL	COL_ND10					
CLSI12	MIC		AC-	Human	Human		Table 2B-2	14.00	COL	COL_ND10				2	4
CLSI12	MIC		NFR	Human	Human		Table 2B-5	17.00	COL	COL_ND10				2	8
CLSI12	MIC		pae	Human	Human		Table 2B-1	11.00	COL	COL_ND10				2	8
CLSI12	MIC		HA-	Human	Human		Table 2E	17.00	CPD	CPD_NM				2	
CLSI12	MIC		ngo	Human	Human		Table 2F	12.00	CPD	CPD_NM				0.5	
CLSI12	MIC		spn	Human	Human		Table 2G	18.00	CPD	CPD_NM				0.5	2
CLSI12	MIC		STA	Human	Human		Table 2C	27.00	CPD	CPD_NM				2	8
CLSI12	MIC		HA-	Human	Human		Table 2E	14.00	CPR	CPR_NM				8	32
CLSI12	MIC		spn	Human	Human		Table 2G	19.00	CPR	CPR_NM				2	8
CLSI12	MIC		STA	Human	Human		Table 2C	28.00	CPR	CPR_NM				8	32
CLSI12	MIC		NFR	Human	Human		Table 2B-5	4.00	CRB	CRB_ND100					
CLSI12	MIC		NFR	Human	Human		Table 2B-5	4.00	CRB	CRB_ND100				16	64
CLSI12	MIC		NFR	Human	Human		Table 2B-5	10.00	CRO	CRO_ND30					
EUCST14	MIC		ctr	Human	Human		Candida	20.00	ANI	ANI_EM				0.064	0.12
CLSI12	MIC		AER	Human	Human		M45 Table 2		CRO	CRO_NM				1	4
CLSI12	MIC		AGT	Human	Human		M45 Table 7		CRO	CRO_NM				2	
CLSI12	MIC		ANA	Human	Human		Table 2J	13.00	CRO	CRO_NM				16	64
CLSI12	MIC		ban	Human	Human		M45 Table 16		CRO	CRO_NM					
CLSI12	MIC		bca	Human	Human		M45 Table 12		CRO	CRO_NM				2	
CLSI12	MIC		BCS	Human	Human		M45 Table 3		CRO	CRO_NM				8	64
CLSI12	MIC		CAR	Human	Human		M45 Table 7		CRO	CRO_NM				2	
CLSI12	MIC		COF	Human	Human		M45 Table 5		CRO	CRO_NM				1	4
CLSI12	MIC		EIK	Human	Human		M45 Table 7		CRO	CRO_NM				2	
CLSI12	MIC		erh	Human	Human		M45 Table 6		CRO	CRO_NM				1	
CLSI12	MIC		GCT	Human	Human		M45 Table 1		CRO	CRO_NM				1	4
CLSI12	MIC		HA-	Human	Human		Table 2E	7.00	CRO	CRO_NM				2	
CLSI11	DISK	30ug	NFR	Human	Human				CTX	CTX_ND30					
CLSI11	DISK	30ug	NFR	Human	Human				CZX	CZX_ND30					
CLSI11	DISK	30ug	NFR	Human	Human				DOX	DOX_ND30					
CLSI11	DISK	30ug	NFR	Human	Human				FEP	FEP_ND30					
CLSI11	MIC		ANA	Human	Human				PIP	PIP_NM				32	128
CLSI11	MIC		ANA	Human	Human				SAM	SAM_NM				8	32
CLSI11	MIC		ANA	Human	Human				TCC	TCC_NM				32	128
CLSI11	MIC		ANA	Human	Human				TCY	TCY_NM				4	16
CLSI11	MIC		ANA	Human	Human				TIC	TIC_NM				32	128
CLSI11	MIC		ANA	Human	Human				TZP	TZP_NM				32	128
CLSI11	DISK	15ug	apl	Human	Human				TIL	TIL_ND15	10	-	11		
CLSI11	MIC		apl	Human	Human				TIL	TIL_NM				16	32
CLSI11	MIC		ban	Human	Human				AMK	AMK_NM					
CLSI11	MIC		ban	Human	Human				AMP	AMP_NM					
CLSI11	MIC		ban	Human	Human				CAZ	CAZ_NM					
CLSI11	MIC		ban	Human	Human				CHL	CHL_NM					
CLSI11	MIC		ban	Human	Human				CIP	CIP_NM				0.25	
CLSI11	MIC		ban	Human	Human				CLI	CLI_NM					
CLSI11	MIC		ban	Human	Human				CRO	CRO_NM					
CLSI11	MIC		ban	Human	Human				CTX	CTX_NM					
CLSI11	MIC		ban	Human	Human				CZO	CZO_NM					
CLSI11	MIC		ban	Human	Human				DOX	DOX_NM				1	
CLSI11	MIC		ban	Human	Human				ERY	ERY_NM					
CLSI11	MIC		ban	Human	Human				GEN	GEN_NM					
CLSI11	MIC		ban	Human	Human				IPM	IPM_NM					
CLSI11	MIC		ban	Human	Human				LVX	LVX_NM				0.25	
CLSI11	MIC		ban	Human	Human				PEN	PEN_NM				0.125	0.25
CLSI11	MIC		ban	Human	Human				RIF	RIF_NM					
CLSI11	MIC		ban	Human	Human				SXT	SXT_NM					
CLSI11	MIC		ban	Human	Human				TCY	TCY_NM				1	
CLSI11	MIC		ban	Human	Human				VAN	VAN_NM					
BSAC00	MIC		nme	Human	Human				RIF	RIF_BM				1	2
CLSI11	DISK	200ug	bca	Human	Human				AMC	AMC_ND20	23	-	24		
CLSI11	DISK	15ug	bca	Human	Human				AZM	AZM_ND15		-	26		
CLSI11	DISK	15ug	bca	Human	Human				CLR	CLR_ND15		-	24		
CLSI11	DISK	15ug	bca	Human	Human				ERY	ERY_ND15		-	21		
CLSI11	DISK	1.25ug/23.75ug	bca	Human	Human				SXT	SXT_ND1_2	10	11-12	13		
CLSI11	DISK	30ug	bca	Human	Human				TCY	TCY_ND30	24	25-28	29		
CLSI11	MIC		bca	Human	Human				AMC	AMC_NM				4	8
CLSI11	MIC		bca	Human	Human				AZM	AZM_NM				0.25	
CLSI11	MIC		bca	Human	Human				CAZ	CAZ_NM				2	
CLSI11	MIC		bca	Human	Human				CFC	CFC_NM				8	32
CLSI11	MIC		bca	Human	Human				CHL	CHL_NM				2	8
CLSI11	MIC		bca	Human	Human				CIP	CIP_NM				1	
CLSI11	MIC		bca	Human	Human				CLI	CLI_NM				0.5	4
CLSI11	MIC		bca	Human	Human				CLR	CLR_NM				1	
CLSI11	MIC		bca	Human	Human				CRO	CRO_NM				2	
CLSI11	MIC		bca	Human	Human				CTX	CTX_NM				2	
CLSI11	MIC		bca	Human	Human				CXM	CXM_NM				4	16
CLSI11	MIC		bca	Human	Human				ERY	ERY_NM				2	
CLSI11	MIC		bca	Human	Human				LVX	LVX_NM				2	
CLSI11	MIC		bca	Human	Human				RIF	RIF_NM				1	4
CLSI11	MIC		bca	Human	Human				SXT	SXT_NM				0.5	4
CLSI11	MIC		bca	Human	Human				TCY	TCY_NM				2	8
CLSI11	DISK	30ug	bce	Human	Human				CAZ	CAZ_ND30	17	18-20	21		
CLSI11	DISK	30ug	bce	Human	Human				CHL	CHL_ND30					
